dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_svo,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
ba_preferred,物理状态改变,1,那个苹果坏了，我,把它扔了,扔了它,ba,未运行,15.810094833374023,2.258584976196289,6.849084854125977,3.2584493445847036,7.0,7.0,17.419357299804688,2.903226375579834,6.849084854125977,4.1884702946270655,6.0,6.0,33.815589904785156,4.830798625946045,4.409273147583008,6.969369221185578,7.0,7.0,33.77312088012695,5.628853797912598,4.409273147583008,8.120719460137511,6.0,6.0,正确_把字句,错误_SVO,把字句,是,Mistral-7B-v0.3-Base,mistralai/Mistral-7B-v0.3
ba_preferred,物理状态改变,2,这杯牛奶太凉了，弟弟刚才,把它加热了,加热了它,ba,未运行,21.50255584716797,3.583759307861328,7.829293251037598,5.170271781191202,6.0,6.0,22.47262954711914,4.494525909423828,7.829293251037598,6.484230240672716,5.0,5.0,39.66654968261719,6.611091613769531,4.382134914398193,9.537789086047917,6.0,6.0,37.053096771240234,7.410619258880615,4.382134914398193,10.69126365470331,5.0,5.0,正确_把字句,错误_SVO,把字句,是,Mistral-7B-v0.3-Base,mistralai/Mistral-7B-v0.3
ba_preferred,物理状态改变,3,衬衫上有一块咖啡渍，我昨天,把它洗干净了,洗干净了它,ba,未运行,21.535215377807617,1.9577468633651733,8.351424217224121,2.8244316910928586,11.0,11.0,22.285587310791016,2.2285587787628174,8.351424217224121,3.215130698450681,10.0,10.0,37.21772384643555,3.383429527282715,4.368892669677734,4.881257000208063,11.0,11.0,38.12807846069336,3.81280779838562,4.368892669677734,5.500718902593701,10.0,10.0,正确_把字句,错误_SVO,把字句,是,Mistral-7B-v0.3-Base,mistralai/Mistral-7B-v0.3
ba_preferred,物理状态改变,4,这块蛋糕太甜了，但我还是,把它吃完了,吃完了它,ba,未运行,15.93407154083252,2.6556787490844727,8.338174819946289,3.8313345614983745,6.0,6.0,16.585657119750977,3.317131519317627,8.338174819946289,4.785609192896013,5.0,5.0,35.18733215332031,5.864555358886719,4.382134914398193,8.460764933284665,6.0,6.0,34.58305358886719,6.9166107177734375,4.382134914398193,9.978559982291193,5.0,5.0,正确_把字句,错误_SVO,把字句,是,Mistral-7B-v0.3-Base,mistralai/Mistral-7B-v0.3
ba_preferred,物理状态改变,5,刚才有一只蚊子，我一巴掌,把它打死了,打死了它,ba,未运行,12.813750267028809,2.135625123977661,7.479889869689941,3.0810557755604493,6.0,6.0,13.095794677734375,2.619158983230591,7.479889869689941,3.7786476764065533,5.0,5.0,35.11640167236328,5.852733612060547,4.382268905639648,8.443709757763902,6.0,6.0,33.724876403808594,6.744975566864014,4.382268905639648,9.730942801231938,5.0,5.0,正确_把字句,错误_SVO,把字句,是,Mistral-7B-v0.3-Base,mistralai/Mistral-7B-v0.3
ba_preferred,物理状态改变,6,桌子上的那张废纸，我,把它撕了,撕了它,ba,未运行,17.822898864746094,2.546128511428833,5.524054527282715,3.673286976904376,7.0,7.0,19.25116729736328,3.2085280418395996,5.524054527282715,4.628927494515167,6.0,6.0,34.91584014892578,4.987977504730225,4.382268905639648,7.196130410140001,7.0,7.0,35.21615982055664,5.869359970092773,4.382268905639648,8.467696522045038,6.0,6.0,正确_把字句,错误_SVO,把字句,是,Mistral-7B-v0.3-Base,mistralai/Mistral-7B-v0.3
ba_preferred,物理状态改变,7,这个旧手机没用了，我准备,把它卖了,卖了它,ba,未运行,14.261053085327148,2.852210760116577,7.279609680175781,4.114870319190326,5.0,5.0,16.422698974609375,4.105674743652344,7.279609680175781,5.923236592170302,4.0,4.0,32.9659538269043,6.593190670013428,4.368921756744385,9.511963483263754,5.0,5.0,32.29887008666992,8.07471752166748,4.368921756744385,11.649354925088895,4.0,4.0,正确_把字句,错误_SVO,把字句,是,Mistral-7B-v0.3-Base,mistralai/Mistral-7B-v0.3
ba_preferred,物理状态改变,8,这封信是写给你的，我,把它拆开了,拆开了它,ba,未运行,22.523284912109375,2.815410614013672,7.126543998718262,4.061778930903676,8.0,8.0,27.152118682861328,3.8788743019104004,7.126543998718262,5.596032719597774,7.0,7.0,34.17835998535156,4.272294998168945,4.368921756744385,6.16361880707306,8.0,8.0,35.26702117919922,5.038146018981934,4.368921756744385,7.268508276859709,7.0,7.0,正确_把字句,错误_SVO,把字句,是,Mistral-7B-v0.3-Base,mistralai/Mistral-7B-v0.3
ba_preferred,物理状态改变,9,那个花瓶快掉下来了，幸好我,把它抓住了,抓住了它,ba,未运行,15.652865409851074,1.9566081762313843,7.844861030578613,2.8227889128118173,8.0,8.0,12.566802024841309,1.795257568359375,7.844861030578613,2.5900091909904495,7.0,7.0,35.098182678222656,4.387272834777832,4.382268905639648,6.329496761760843,8.0,8.0,33.089256286621094,4.727036952972412,4.382268905639648,6.8196727701521755,7.0,7.0,错误_SVO,错误_SVO,把字句,是,Mistral-7B-v0.3-Base,mistralai/Mistral-7B-v0.3
ba_preferred,物理状态改变,10,这首曲子太吵了，我,把它关了,关了它,ba,未运行,17.683853149414062,3.5367705821990967,7.174800872802734,5.102481379700609,5.0,5.0,18.11771011352539,4.529427528381348,7.174800872802734,6.534582633261725,4.0,4.0,32.22907257080078,6.445814609527588,4.368921756744385,9.29934477165508,5.0,5.0,31.475358963012695,7.868839740753174,4.368921756744385,11.352336071534602,4.0,4.0,正确_把字句,错误_SVO,把字句,是,Mistral-7B-v0.3-Base,mistralai/Mistral-7B-v0.3
