dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_svo,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
ba_preferred,物理状态改变,1,那个苹果坏了，我,把它扔了,扔了它,ba,未运行,8.722784042358398,1.4537973403930664,3.908276319503784,2.097386213442641,6.0,6.0,11.298674583435059,2.8246686458587646,4.158276557922363,4.075135447534984,4.0,4.0,26.768444061279297,4.461407661437988,12.650915145874023,6.4364507085406135,6.0,6.0,30.480152130126953,7.620038032531738,13.588415145874023,10.993391080918833,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
ba_preferred,物理状态改变,2,这杯牛奶太凉了，弟弟刚才,把它加热了,加热了它,ba,未运行,15.63344955444336,1.95418119430542,3.7626595497131348,2.819287518022901,8.0,8.0,16.27903938293457,2.7131733894348145,5.762659549713135,3.9142817940095074,6.0,6.0,34.836456298828125,4.354557037353516,12.650915145874023,6.282297843058053,8.0,8.0,37.49845886230469,6.249743461608887,14.709508895874023,9.016473898891364,6.0,6.0,正确_把字句,正确_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
ba_preferred,物理状态改变,3,衬衫上有一块咖啡渍，我昨天,把它洗干净了,洗干净了它,ba,未运行,14.142486572265625,1.4142487049102783,4.4347991943359375,2.0403295931576975,10.0,10.0,16.518539428710938,2.064817428588867,5.7472991943359375,2.97890186456626,8.0,8.0,33.176151275634766,3.317615270614624,12.650915145874023,4.786307098493214,10.0,10.0,38.443599700927734,4.805449962615967,14.936071395874023,6.93279883030611,8.0,8.0,正确_把字句,正确_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
ba_preferred,物理状态改变,4,这块蛋糕太甜了，但我还是,把它吃完了,吃完了它,ba,未运行,13.688947677612305,1.955564022064209,5.001633644104004,2.82128251677291,7.0,7.0,15.606761932373047,3.121352434158325,4.251633644104004,4.50315967762691,5.0,5.0,31.75882339477539,4.536974906921387,12.650915145874023,6.545471198853151,7.0,7.0,31.298288345336914,6.259657859802246,12.033727645874023,9.030777351998323,5.0,5.0,正确_把字句,错误_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
ba_preferred,物理状态改变,5,刚才有一只蚊子，我一巴掌,把它打死了,打死了它,ba,未运行,13.796191215515137,1.724523901939392,3.95273756980896,2.487962081222446,8.0,8.0,11.925848007202148,1.9876413345336914,3.26523756980896,2.8675602963976776,6.0,6.0,32.0974235534668,4.01217794418335,12.69450569152832,5.788349223237395,8.0,8.0,29.092477798461914,4.848746299743652,13.61247444152832,6.995262241168879,6.0,6.0,正确_把字句,错误_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
ba_preferred,物理状态改变,6,桌子上的那张废纸，我,把它撕了,撕了它,ba,未运行,12.071450233459473,2.011908531188965,3.464946985244751,2.902570460668518,6.0,6.0,14.505537033081055,3.6263842582702637,7.277446746826172,5.231766585764311,4.0,4.0,28.514507293701172,4.752418041229248,12.69450569152832,6.856289940312678,6.0,6.0,32.19091796875,8.0477294921875,15.24919319152832,11.610419428794762,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
ba_preferred,物理状态改变,7,这个旧手机没用了，我准备,把它卖了,卖了它,ba,未运行,13.092961311340332,2.1821603775024414,4.625185012817383,3.1481919550471607,6.0,6.0,13.255403518676758,3.3138508796691895,5.375185012817383,4.780876230344269,4.0,4.0,29.102378845214844,4.850396633148193,12.650915145874023,6.997643168987423,6.0,6.0,28.096492767333984,7.024123191833496,11.674352645874023,10.133667695451342,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
ba_preferred,物理状态改变,8,这封信是写给你的，我,把它拆开了,拆开了它,ba,未运行,15.697235107421875,2.242462158203125,4.560100078582764,3.235189035020811,7.0,7.0,17.57687759399414,3.5153756141662598,6.060100078582764,5.071614965419657,5.0,5.0,29.165035247802734,4.166433811187744,12.650915145874023,6.010893397592662,7.0,7.0,30.601707458496094,6.120341777801514,13.443883895874023,8.829786731379786,5.0,5.0,正确_把字句,正确_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
ba_preferred,物理状态改变,9,那个花瓶快掉下来了，幸好我,把它抓住了,抓住了它,ba,未运行,12.207603454589844,1.5259504318237305,4.147697448730469,2.2014811206344684,8.0,8.0,7.8578009605407715,1.309633493423462,4.147697448730469,1.8894017463441175,6.0,6.0,28.341066360473633,3.542633295059204,12.69450569152832,5.110939486470042,8.0,8.0,28.455646514892578,4.742608070373535,12.69450569152832,6.842137144007875,6.0,6.0,错误_SVO,错误_SVO,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
ba_preferred,物理状态改变,10,这首曲子太吵了，我,把它关了,关了它,ba,未运行,13.321382522583008,2.664276599884033,4.395730018615723,3.843738638209204,5.0,5.0,14.746352195739746,4.9154510498046875,8.770730018615723,7.091496853285672,3.0,3.0,27.31015968322754,5.462031841278076,12.69450569152832,7.880046250589494,5.0,5.0,28.858150482177734,9.619383811950684,14.47575569152832,13.877837321908824,3.0,3.0,正确_把字句,正确_把字句,把字句,是,Pythia-2.8B-Base,EleutherAI/pythia-2.8b
