dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_ba,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
svo_preferred,习惯性动作与泛指,1,弟弟非常喜欢运动，每天下午都去操场,把足球踢了,踢足球,svo,未运行,17.730289459228516,4.432572364807129,10.355975151062012,6.39485016908871,4.0,4.0,2.0308263301849365,1.0154131650924683,1.8559751510620117,1.4649315377322703,2.0,2.0,17.574649810791016,5.858216762542725,11.56568431854248,8.451620271772986,4.0,3.0,8.446041107177734,8.446041107177734,8.446041107177734,12.185061620469648,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-8B-Base,Qwen/Qwen3-8B-Base
svo_preferred,习惯性动作与泛指,2,老板每天到办公室以后，都会先在桌子前,把咖啡喝了,喝咖啡,svo,未运行,15.729077339172363,5.243025779724121,6.231729984283447,7.5640872916609805,3.0,3.0,7.886025905609131,3.9430129528045654,3.9817299842834473,5.688565233172095,2.0,2.0,17.82602310180664,8.91301155090332,10.40943431854248,12.858757563874269,3.0,2.0,10.028955459594727,10.028955459594727,10.028955459594727,14.468724306853607,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-8B-Base,Qwen/Qwen3-8B-Base
svo_preferred,习惯性动作与泛指,3,她很喜欢阅读，她回家的第一件事就是坐在沙发上,把书看了,看书,svo,未运行,11.445380210876465,3.815126895904541,5.44256591796875,5.504064653083586,3.0,3.0,3.69256591796875,3.69256591796875,3.69256591796875,5.327246538009119,1.0,1.0,17.931528091430664,8.965764045715332,10.78443431854248,12.93486332653408,3.0,2.0,,,,,1.0,0.0,正确_SVO,正确_SVO,把字句,否,Qwen3-8B-Base,Qwen/Qwen3-8B-Base
svo_preferred,习惯性动作与泛指,4,每天中午十二点，工厂的工人们都会准时去食堂,把午饭吃了,吃午饭,svo,未运行,15.826356887817383,5.275452613830566,9.339668273925781,7.610869324418078,3.0,3.0,2.4286022186279297,1.2143011093139648,2.0896682739257812,1.7518661885532243,2.0,2.0,18.04762077331543,9.023810386657715,13.72193431854248,13.018606494753405,3.0,2.0,11.351417541503906,11.351417541503906,11.351417541503906,16.376633794187676,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-8B-Base,Qwen/Qwen3-8B-Base
svo_preferred,习惯性动作与泛指,5,这所学校的管理很严格，老师要求学生们要大声地,把课文读了,读课文,svo,未运行,17.98466682434082,4.496166706085205,6.301102638244629,6.486597409879191,4.0,4.0,4.603020668029785,2.3015103340148926,2.301102638244629,3.3203775454379874,2.0,2.0,21.14539909362793,7.048466682434082,12.692557334899902,10.168787928618734,4.0,3.0,15.106856346130371,15.106856346130371,15.106856346130371,21.794586733984254,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-8B-Base,Qwen/Qwen3-8B-Base
svo_preferred,习惯性动作与泛指,6,我平时不爱喝饮料，只,把白开水喝了,喝白开水,svo,未运行,18.927541732788086,4.7318854331970215,8.136616706848145,6.826667648528067,4.0,4.0,1.5892131328582764,0.5297377109527588,0.7616167068481445,0.7642499685634162,3.0,3.0,21.42705535888672,7.142352104187012,10.087489128112793,10.304235960993456,4.0,3.0,11.323418617248535,5.661709308624268,10.281381607055664,8.168119942507113,3.0,2.0,正确_SVO,正确_SVO,SVO,是,Qwen3-8B-Base,Qwen/Qwen3-8B-Base
svo_preferred,习惯性动作与泛指,7,为了准备下个月的考试，他每天在图书馆,把单词背了,背单词,svo,未运行,22.439632415771484,5.609908103942871,9.192928314208984,8.093386601401187,4.0,4.0,9.04874324798584,4.52437162399292,7.942928314208984,6.527288505073332,2.0,2.0,23.297225952148438,7.765742301940918,11.44068431854248,11.203597907831806,4.0,3.0,14.01950740814209,14.01950740814209,14.01950740814209,20.225873813432678,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-8B-Base,Qwen/Qwen3-8B-Base
svo_preferred,习惯性动作与泛指,8,每天晚上睡觉以前，我都去卫生间,把牙刷了,刷牙,svo,未运行,13.004509925842285,3.2511274814605713,3.6457343101501465,4.690385494800991,4.0,4.0,4.894594192504883,2.4472970962524414,4.6457343101501465,3.5307033843453577,2.0,2.0,18.87945556640625,6.29315185546875,13.274989128112793,9.079098973445944,4.0,3.0,11.702993392944336,11.702993392944336,11.702993392944336,16.883850531557098,2.0,1.0,正确_SVO,错误_把字句,把字句,是,Qwen3-8B-Base,Qwen/Qwen3-8B-Base
svo_preferred,习惯性动作与泛指,9,每个周末去公园的时候，奶奶总在湖边,把歌听了,听歌,svo,未运行,25.30183219909668,8.433944702148438,7.2247514724731445,12.167610196921297,3.0,3.0,10.875194549560547,5.437597274780273,7.0997514724731445,7.844794622676843,2.0,2.0,24.63686752319336,12.31843376159668,12.56568431854248,17.77174329937471,3.0,2.0,14.412317276000977,14.412317276000977,14.412317276000977,20.792578661804942,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-8B-Base,Qwen/Qwen3-8B-Base
svo_preferred,习惯性动作与泛指,10,弟弟不开心的时候，喜欢在房间里,把吉他弹了,弹吉他,svo,未运行,17.77304458618164,4.44326114654541,4.353680610656738,6.410270821495673,4.0,4.0,5.640956878662109,2.8204784393310547,4.728680610656738,4.069090257357156,2.0,2.0,22.687652587890625,7.562551021575928,14.431239128112793,10.910454855297356,4.0,3.0,17.060056686401367,17.060056686401367,17.060056686401367,24.612459178755856,2.0,1.0,正确_SVO,错误_把字句,把字句,是,Qwen3-8B-Base,Qwen/Qwen3-8B-Base
