pair_id,source_context_preference,subcondition_label,preferred_construction,nonpreferred_construction,preferred_sentence,nonpreferred_sentence,preferred_corrected,nonpreferred_corrected,preferred_accepted,nonpreferred_flagged,pair_edit_accept_correct,nonpreferred_corrected_to_paired_preferred,preferred_edit_summary,nonpreferred_edit_summary
BA-PC-001,BA-preferred,物理状态改变,BA,SVO,那个苹果坏了，我把它扔了。,那个苹果坏了，我扔了它。,"那个苹果坏了,我把它扔了。","那个苹果坏了,我扔了它。",True,False,False,False,,
BA-PC-002,BA-preferred,物理状态改变,BA,SVO,这杯牛奶太凉了，弟弟刚才把它加热了。,这杯牛奶太凉了，弟弟刚才加热了它。,"这杯牛奶太凉了,弟弟刚才把它加热了。","这杯牛奶太凉了,弟弟刚才加热了它。",True,False,False,False,,
BA-PC-003,BA-preferred,物理状态改变,BA,SVO,衬衫上有一块咖啡渍，我昨天把它洗干净了。,衬衫上有一块咖啡渍，我昨天洗干净了它。,"衬衫上有一块咖啡渍,我昨天把它洗干净了。","衬衫上有一块咖啡渍,我昨天清洗干净了它。",True,True,True,False,,insert:->清@13:13
BA-PC-004,BA-preferred,物理状态改变,BA,SVO,这块蛋糕太甜了，但我还是把它吃完了。,这块蛋糕太甜了，但我还是吃完了它。,"这块蛋糕太甜了,但我还是把它吃完了。","这块蛋糕太甜了,但我还是吃完了它。",True,False,False,False,,
BA-PC-005,BA-preferred,物理状态改变,BA,SVO,刚才有一只蚊子，我一巴掌把它打死了。,刚才有一只蚊子，我一巴掌打死了它。,"刚才有一只蚊子,我一巴掌把它打死了。","刚才有一只蚊子,我一巴掌打死了它。",True,False,False,False,,
BA-PC-006,BA-preferred,物理状态改变,BA,SVO,桌子上的那张废纸，我把它撕了。,桌子上的那张废纸，我撕了它。,"桌子上的那张废纸,我把它撕了。","桌子上的那张废纸,我撕了它。",True,False,False,False,,
BA-PC-007,BA-preferred,物理状态改变,BA,SVO,这个旧手机没用了，我准备把它卖了。,这个旧手机没用了，我准备卖了它。,"这个旧手机没用了,我准备把它买了。","这个旧手机没用了,我准备买了它。",False,True,False,False,replace:卖->买@14:15,replace:卖->买@12:13
BA-PC-008,BA-preferred,物理状态改变,BA,SVO,这封信是写给你的，我把它拆开了。,这封信是写给你的，我拆开了它。,"这封信是写给你的,我把它拆开了。","这封信是写给你的,我拆开了它。",True,False,False,False,,
BA-PC-009,BA-preferred,物理状态改变,BA,SVO,那个花瓶快掉下来了，幸好我把它抓住了。,那个花瓶快掉下来了，幸好我抓住了它。,"那个花瓶快掉下来了,幸好我把它抓了。","那个花瓶快掉下来了,幸好我找到了它。",False,True,False,False,delete:住->@16:17,replace:抓住->找到@13:15
BA-PC-010,BA-preferred,物理状态改变,BA,SVO,这首曲子太吵了，我把它关了。,这首曲子太吵了，我关了它。,"这首曲子太吵了,我把它关了。","这首曲子太吵了,我关了它。",True,False,False,False,,
BA-PC-011,BA-preferred,物理状态改变,BA,SVO,我的旧电脑太慢了，昨天我把它换了。,我的旧电脑太慢了，昨天我换了它。,"我的旧电脑太慢了,昨天我把它换了。","我的旧电脑太慢了,昨天我换了它。",True,False,False,False,,
BA-PC-012,BA-preferred,物理状态改变,BA,SVO,汤里掉进了一只苍蝇，我只能把它倒了。,汤里掉进了一只苍蝇，我只能倒了它。,"汤里掉进了一只苍蝇,我只能把它倒了。","汤里掉进了一只苍蝇,我只能倒了它。",True,False,False,False,,
BA-PC-013,BA-preferred,物理状态改变,BA,SVO,这张照片拍得不好看，我把它删了。,这张照片拍得不好看，我删了它。,"这张照片拍得不好看,我把它删了。","这张照片拍得不好看,我删了它。",True,False,False,False,,
