global_test_id,block,context_status,source_context_preference,subcondition_no,subcondition_label,item_no,pair_id,block_pair_id,test_unit_no,construction_candidate,preference_in_source_context,prompt_for_surprisal,target_continuation,full_test_sentence,source_prompt_with_context,local_prefix_no_context,notes,gold_is_error,gold_label,sentence_for_macbert,macbert_corrected,macbert_errors_json,macbert_num_errors,macbert_accepted_no_edit,macbert_predicted_error
T0001,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,1,BA-PC-001,BA-CTX-PC-001,1,BA,preferred,那个苹果坏了，我,把它扔了,那个苹果坏了，我把它扔了。,那个苹果坏了，我,我,,False,felicitous,那个苹果坏了，我把它扔了。,那个苹果坏了，我把它扔了。,[],0,True,False
T0002,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,1,BA-PC-001,BA-CTX-PC-001,2,SVO,non-preferred,那个苹果坏了，我,扔了它,那个苹果坏了，我扔了它。,那个苹果坏了，我,我,,True,infelicitous,那个苹果坏了，我扔了它。,那个苹果坏了，我扔了它。,[],0,True,False
T0003,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,2,BA-PC-002,BA-CTX-PC-002,1,BA,preferred,这杯牛奶太凉了，弟弟刚才,把它加热了,这杯牛奶太凉了，弟弟刚才把它加热了。,这杯牛奶太凉了，弟弟刚才,弟弟刚才,,False,felicitous,这杯牛奶太凉了，弟弟刚才把它加热了。,这杯牛奶太凉了，弟弟刚才把它加热了。,[],0,True,False
T0004,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,2,BA-PC-002,BA-CTX-PC-002,2,SVO,non-preferred,这杯牛奶太凉了，弟弟刚才,加热了它,这杯牛奶太凉了，弟弟刚才加热了它。,这杯牛奶太凉了，弟弟刚才,弟弟刚才,,True,infelicitous,这杯牛奶太凉了，弟弟刚才加热了它。,这杯牛奶太凉了，弟弟刚才加热了它。,[],0,True,False
T0005,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,3,BA-PC-003,BA-CTX-PC-003,1,BA,preferred,衬衫上有一块咖啡渍，我昨天,把它洗干净了,衬衫上有一块咖啡渍，我昨天把它洗干净了。,衬衫上有一块咖啡渍，我昨天,我昨天,,False,felicitous,衬衫上有一块咖啡渍，我昨天把它洗干净了。,衬衫上有一块咖啡渍，我昨天把它洗干净了。,[],0,True,False
T0006,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,3,BA-PC-003,BA-CTX-PC-003,2,SVO,non-preferred,衬衫上有一块咖啡渍，我昨天,洗干净了它,衬衫上有一块咖啡渍，我昨天洗干净了它。,衬衫上有一块咖啡渍，我昨天,我昨天,,True,infelicitous,衬衫上有一块咖啡渍，我昨天洗干净了它。,衬衫上有一块咖啡渍，我昨天洗干净了它。,[],0,True,False
T0007,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,4,BA-PC-004,BA-CTX-PC-004,1,BA,preferred,这块蛋糕太甜了，但我还是,把它吃完了,这块蛋糕太甜了，但我还是把它吃完了。,这块蛋糕太甜了，但我还是,但我还是,,False,felicitous,这块蛋糕太甜了，但我还是把它吃完了。,这块蛋糕太甜了，但我还是把它吃完了。,[],0,True,False
T0008,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,4,BA-PC-004,BA-CTX-PC-004,2,SVO,non-preferred,这块蛋糕太甜了，但我还是,吃完了它,这块蛋糕太甜了，但我还是吃完了它。,这块蛋糕太甜了，但我还是,但我还是,,True,infelicitous,这块蛋糕太甜了，但我还是吃完了它。,这块蛋糕太甜了，但我还是吃完了它。,[],0,True,False
T0009,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,5,BA-PC-005,BA-CTX-PC-005,1,BA,preferred,刚才有一只蚊子，我一巴掌,把它打死了,刚才有一只蚊子，我一巴掌把它打死了。,刚才有一只蚊子，我一巴掌,我一巴掌,,False,felicitous,刚才有一只蚊子，我一巴掌把它打死了。,刚才有一只蚊子，我一巴掌把它打死了。,[],0,True,False
T0010,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,5,BA-PC-005,BA-CTX-PC-005,2,SVO,non-preferred,刚才有一只蚊子，我一巴掌,打死了它,刚才有一只蚊子，我一巴掌打死了它。,刚才有一只蚊子，我一巴掌,我一巴掌,,True,infelicitous,刚才有一只蚊子，我一巴掌打死了它。,刚才有一只蚊子，我一巴掌打死了它。,[],0,True,False
T0011,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,6,BA-PC-006,BA-CTX-PC-006,1,BA,preferred,桌子上的那张废纸，我,把它撕了,桌子上的那张废纸，我把它撕了。,桌子上的那张废纸，我,我,,False,felicitous,桌子上的那张废纸，我把它撕了。,桌子上的那张废纸，我把它撕了。,[],0,True,False
T0012,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,6,BA-PC-006,BA-CTX-PC-006,2,SVO,non-preferred,桌子上的那张废纸，我,撕了它,桌子上的那张废纸，我撕了它。,桌子上的那张废纸，我,我,,True,infelicitous,桌子上的那张废纸，我撕了它。,桌子上的那张废纸，我撕了它。,[],0,True,False
T0013,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,7,BA-PC-007,BA-CTX-PC-007,1,BA,preferred,这个旧手机没用了，我准备,把它卖了,这个旧手机没用了，我准备把它卖了。,这个旧手机没用了，我准备,我准备,,False,felicitous,这个旧手机没用了，我准备把它卖了。,这个旧手机没用了，我准备把它卖了。,[],0,True,False
