global_test_id,block,context_status,source_context_preference,subcondition_no,subcondition_label,original_item_no,pair_id,block_pair_id,test_unit_no,construction_candidate,preference_in_source_context,prompt_for_surprisal,target_continuation,full_test_sentence,source_prompt_with_context,local_prefix_no_context,notes,row_id,sentence_for_t5,is_contextualized,is_contextless,gold_is_nonpreferred,gold_is_preferred,t5_corrected,t5_details,t5_num_reported_edits,input_norm,t5_corrected_norm,t5_raw_changed,t5_substantive_changed,t5_accepted_no_substantive_edit,t5_edit_distance_norm,t5_edit_summary,paired_preferred_sentence,paired_preferred_norm,t5_corrected_to_paired_preferred
T0001,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,1,BA-PC-001,BA-CTX-PC-001,1,BA,preferred,那个苹果坏了，我,把它扔了,那个苹果坏了，我把它扔了。,那个苹果坏了，我,我,,0,那个苹果坏了，我把它扔了。,True,False,False,True,"那个苹果坏了,我把它扔了。",,,"那个苹果坏了,我把它扔了","那个苹果坏了,我把它扔了",True,False,True,0,,那个苹果坏了，我把它扔了。,"那个苹果坏了,我把它扔了",False
T0002,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,1,BA-PC-001,BA-CTX-PC-001,2,SVO,non-preferred,那个苹果坏了，我,扔了它,那个苹果坏了，我扔了它。,那个苹果坏了，我,我,,1,那个苹果坏了，我扔了它。,True,False,True,False,"那个苹果坏了,我扔了它。",,,"那个苹果坏了,我扔了它","那个苹果坏了,我扔了它",True,False,True,0,,那个苹果坏了，我把它扔了。,"那个苹果坏了,我把它扔了",False
T0003,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,2,BA-PC-002,BA-CTX-PC-002,1,BA,preferred,这杯牛奶太凉了，弟弟刚才,把它加热了,这杯牛奶太凉了，弟弟刚才把它加热了。,这杯牛奶太凉了，弟弟刚才,弟弟刚才,,2,这杯牛奶太凉了，弟弟刚才把它加热了。,True,False,False,True,"这杯牛奶太凉了,弟弟刚才把它加热了。",,,"这杯牛奶太凉了,弟弟刚才把它加热了","这杯牛奶太凉了,弟弟刚才把它加热了",True,False,True,0,,这杯牛奶太凉了，弟弟刚才把它加热了。,"这杯牛奶太凉了,弟弟刚才把它加热了",False
T0004,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,2,BA-PC-002,BA-CTX-PC-002,2,SVO,non-preferred,这杯牛奶太凉了，弟弟刚才,加热了它,这杯牛奶太凉了，弟弟刚才加热了它。,这杯牛奶太凉了，弟弟刚才,弟弟刚才,,3,这杯牛奶太凉了，弟弟刚才加热了它。,True,False,True,False,"这杯牛奶太凉了,弟弟刚才加热了它。",,,"这杯牛奶太凉了,弟弟刚才加热了它","这杯牛奶太凉了,弟弟刚才加热了它",True,False,True,0,,这杯牛奶太凉了，弟弟刚才把它加热了。,"这杯牛奶太凉了,弟弟刚才把它加热了",False
T0005,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,3,BA-PC-003,BA-CTX-PC-003,1,BA,preferred,衬衫上有一块咖啡渍，我昨天,把它洗干净了,衬衫上有一块咖啡渍，我昨天把它洗干净了。,衬衫上有一块咖啡渍，我昨天,我昨天,,4,衬衫上有一块咖啡渍，我昨天把它洗干净了。,True,False,False,True,"衬衫上有一块咖啡渍,我昨天把它洗干净了。",,,"衬衫上有一块咖啡渍,我昨天把它洗干净了","衬衫上有一块咖啡渍,我昨天把它洗干净了",True,False,True,0,,衬衫上有一块咖啡渍，我昨天把它洗干净了。,"衬衫上有一块咖啡渍,我昨天把它洗干净了",False
T0006,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,3,BA-PC-003,BA-CTX-PC-003,2,SVO,non-preferred,衬衫上有一块咖啡渍，我昨天,洗干净了它,衬衫上有一块咖啡渍，我昨天洗干净了它。,衬衫上有一块咖啡渍，我昨天,我昨天,,5,衬衫上有一块咖啡渍，我昨天洗干净了它。,True,False,True,False,"衬衫上有一块咖啡渍,我昨天清洗干净了它。",,,"衬衫上有一块咖啡渍,我昨天洗干净了它","衬衫上有一块咖啡渍,我昨天清洗干净了它",True,True,False,1,insert:->清@13:13,衬衫上有一块咖啡渍，我昨天把它洗干净了。,"衬衫上有一块咖啡渍,我昨天把它洗干净了",False
T0007,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,4,BA-PC-004,BA-CTX-PC-004,1,BA,preferred,这块蛋糕太甜了，但我还是,把它吃完了,这块蛋糕太甜了，但我还是把它吃完了。,这块蛋糕太甜了，但我还是,但我还是,,6,这块蛋糕太甜了，但我还是把它吃完了。,True,False,False,True,"这块蛋糕太甜了,但我还是把它吃完了。",,,"这块蛋糕太甜了,但我还是把它吃完了","这块蛋糕太甜了,但我还是把它吃完了",True,False,True,0,,这块蛋糕太甜了，但我还是把它吃完了。,"这块蛋糕太甜了,但我还是把它吃完了",False
T0008,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,4,BA-PC-004,BA-CTX-PC-004,2,SVO,non-preferred,这块蛋糕太甜了，但我还是,吃完了它,这块蛋糕太甜了，但我还是吃完了它。,这块蛋糕太甜了，但我还是,但我还是,,7,这块蛋糕太甜了，但我还是吃完了它。,True,False,True,False,"这块蛋糕太甜了,但我还是吃完了它。",,,"这块蛋糕太甜了,但我还是吃完了它","这块蛋糕太甜了,但我还是吃完了它",True,False,True,0,,这块蛋糕太甜了，但我还是把它吃完了。,"这块蛋糕太甜了,但我还是把它吃完了",False
T0009,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,5,BA-PC-005,BA-CTX-PC-005,1,BA,preferred,刚才有一只蚊子，我一巴掌,把它打死了,刚才有一只蚊子，我一巴掌把它打死了。,刚才有一只蚊子，我一巴掌,我一巴掌,,8,刚才有一只蚊子，我一巴掌把它打死了。,True,False,False,True,"刚才有一只蚊子,我一巴掌把它打死了。",,,"刚才有一只蚊子,我一巴掌把它打死了","刚才有一只蚊子,我一巴掌把它打死了",True,False,True,0,,刚才有一只蚊子，我一巴掌把它打死了。,"刚才有一只蚊子,我一巴掌把它打死了",False
T0010,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,5,BA-PC-005,BA-CTX-PC-005,2,SVO,non-preferred,刚才有一只蚊子，我一巴掌,打死了它,刚才有一只蚊子，我一巴掌打死了它。,刚才有一只蚊子，我一巴掌,我一巴掌,,9,刚才有一只蚊子，我一巴掌打死了它。,True,False,True,False,"刚才有一只蚊子,我一巴掌打死了它。",,,"刚才有一只蚊子,我一巴掌打死了它","刚才有一只蚊子,我一巴掌打死了它",True,False,True,0,,刚才有一只蚊子，我一巴掌把它打死了。,"刚才有一只蚊子,我一巴掌把它打死了",False
T0011,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,6,BA-PC-006,BA-CTX-PC-006,1,BA,preferred,桌子上的那张废纸，我,把它撕了,桌子上的那张废纸，我把它撕了。,桌子上的那张废纸，我,我,,10,桌子上的那张废纸，我把它撕了。,True,False,False,True,"桌子上的那张废纸,我把它撕了。",,,"桌子上的那张废纸,我把它撕了","桌子上的那张废纸,我把它撕了",True,False,True,0,,桌子上的那张废纸，我把它撕了。,"桌子上的那张废纸,我把它撕了",False
T0012,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,6,BA-PC-006,BA-CTX-PC-006,2,SVO,non-preferred,桌子上的那张废纸，我,撕了它,桌子上的那张废纸，我撕了它。,桌子上的那张废纸，我,我,,11,桌子上的那张废纸，我撕了它。,True,False,True,False,"桌子上的那张废纸,我撕了它。",,,"桌子上的那张废纸,我撕了它","桌子上的那张废纸,我撕了它",True,False,True,0,,桌子上的那张废纸，我把它撕了。,"桌子上的那张废纸,我把它撕了",False
T0013,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,7,BA-PC-007,BA-CTX-PC-007,1,BA,preferred,这个旧手机没用了，我准备,把它卖了,这个旧手机没用了，我准备把它卖了。,这个旧手机没用了，我准备,我准备,,12,这个旧手机没用了，我准备把它卖了。,True,False,False,True,"这个旧手机没用了,我准备把它买了。",,,"这个旧手机没用了,我准备把它卖了","这个旧手机没用了,我准备把它买了",True,True,False,1,replace:卖->买@14:15,这个旧手机没用了，我准备把它卖了。,"这个旧手机没用了,我准备把它卖了",False
T0014,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,7,BA-PC-007,BA-CTX-PC-007,2,SVO,non-preferred,这个旧手机没用了，我准备,卖了它,这个旧手机没用了，我准备卖了它。,这个旧手机没用了，我准备,我准备,,13,这个旧手机没用了，我准备卖了它。,True,False,True,False,"这个旧手机没用了,我准备买了它。",,,"这个旧手机没用了,我准备卖了它","这个旧手机没用了,我准备买了它",True,True,False,1,replace:卖->买@12:13,这个旧手机没用了，我准备把它卖了。,"这个旧手机没用了,我准备把它卖了",False
T0015,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,8,BA-PC-008,BA-CTX-PC-008,1,BA,preferred,这封信是写给你的，我,把它拆开了,这封信是写给你的，我把它拆开了。,这封信是写给你的，我,我,,14,这封信是写给你的，我把它拆开了。,True,False,False,True,"这封信是写给你的,我把它拆开了。",,,"这封信是写给你的,我把它拆开了","这封信是写给你的,我把它拆开了",True,False,True,0,,这封信是写给你的，我把它拆开了。,"这封信是写给你的,我把它拆开了",False
T0016,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,8,BA-PC-008,BA-CTX-PC-008,2,SVO,non-preferred,这封信是写给你的，我,拆开了它,这封信是写给你的，我拆开了它。,这封信是写给你的，我,我,,15,这封信是写给你的，我拆开了它。,True,False,True,False,"这封信是写给你的,我拆开了它。",,,"这封信是写给你的,我拆开了它","这封信是写给你的,我拆开了它",True,False,True,0,,这封信是写给你的，我把它拆开了。,"这封信是写给你的,我把它拆开了",False
T0017,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,9,BA-PC-009,BA-CTX-PC-009,1,BA,preferred,那个花瓶快掉下来了，幸好我,把它抓住了,那个花瓶快掉下来了，幸好我把它抓住了。,那个花瓶快掉下来了，幸好我,幸好我,,16,那个花瓶快掉下来了，幸好我把它抓住了。,True,False,False,True,"那个花瓶快掉下来了,幸好我把它抓了。",,,"那个花瓶快掉下来了,幸好我把它抓住了","那个花瓶快掉下来了,幸好我把它抓了",True,True,False,1,delete:住->@16:17,那个花瓶快掉下来了，幸好我把它抓住了。,"那个花瓶快掉下来了,幸好我把它抓住了",False
T0018,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,9,BA-PC-009,BA-CTX-PC-009,2,SVO,non-preferred,那个花瓶快掉下来了，幸好我,抓住了它,那个花瓶快掉下来了，幸好我抓住了它。,那个花瓶快掉下来了，幸好我,幸好我,,17,那个花瓶快掉下来了，幸好我抓住了它。,True,False,True,False,"那个花瓶快掉下来了,幸好我找到了它。",,,"那个花瓶快掉下来了,幸好我抓住了它","那个花瓶快掉下来了,幸好我找到了它",True,True,False,2,replace:抓住->找到@13:15,那个花瓶快掉下来了，幸好我把它抓住了。,"那个花瓶快掉下来了,幸好我把它抓住了",False
T0019,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,10,BA-PC-010,BA-CTX-PC-010,1,BA,preferred,这首曲子太吵了，我,把它关了,这首曲子太吵了，我把它关了。,这首曲子太吵了，我,我,,18,这首曲子太吵了，我把它关了。,True,False,False,True,"这首曲子太吵了,我把它关了。",,,"这首曲子太吵了,我把它关了","这首曲子太吵了,我把它关了",True,False,True,0,,这首曲子太吵了，我把它关了。,"这首曲子太吵了,我把它关了",False
T0020,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,10,BA-PC-010,BA-CTX-PC-010,2,SVO,non-preferred,这首曲子太吵了，我,关了它,这首曲子太吵了，我关了它。,这首曲子太吵了，我,我,,19,这首曲子太吵了，我关了它。,True,False,True,False,"这首曲子太吵了,我关了它。",,,"这首曲子太吵了,我关了它","这首曲子太吵了,我关了它",True,False,True,0,,这首曲子太吵了，我把它关了。,"这首曲子太吵了,我把它关了",False
T0021,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,11,BA-PC-011,BA-CTX-PC-011,1,BA,preferred,我的旧电脑太慢了，昨天我,把它换了,我的旧电脑太慢了，昨天我把它换了。,我的旧电脑太慢了，昨天我,昨天我,,20,我的旧电脑太慢了，昨天我把它换了。,True,False,False,True,"我的旧电脑太慢了,昨天我把它换了。",,,"我的旧电脑太慢了,昨天我把它换了","我的旧电脑太慢了,昨天我把它换了",True,False,True,0,,我的旧电脑太慢了，昨天我把它换了。,"我的旧电脑太慢了,昨天我把它换了",False
T0022,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,11,BA-PC-011,BA-CTX-PC-011,2,SVO,non-preferred,我的旧电脑太慢了，昨天我,换了它,我的旧电脑太慢了，昨天我换了它。,我的旧电脑太慢了，昨天我,昨天我,,21,我的旧电脑太慢了，昨天我换了它。,True,False,True,False,"我的旧电脑太慢了,昨天我换了它。",,,"我的旧电脑太慢了,昨天我换了它","我的旧电脑太慢了,昨天我换了它",True,False,True,0,,我的旧电脑太慢了，昨天我把它换了。,"我的旧电脑太慢了,昨天我把它换了",False
T0023,BA_有语境_200,有语境,BA-preferred,1,物理状态改变,12,BA-PC-012,BA-CTX-PC-012,1,BA,preferred,汤里掉进了一只苍蝇，我只能,把它倒了,汤里掉进了一只苍蝇，我只能把它倒了。,汤里掉进了一只苍蝇，我只能,我只能,,22,汤里掉进了一只苍蝇，我只能把它倒了。,True,False,False,True,"汤里掉进了一只苍蝇,我只能把它倒了。",,,"汤里掉进了一只苍蝇,我只能把它倒了","汤里掉进了一只苍蝇,我只能把它倒了",True,False,True,0,,汤里掉进了一只苍蝇，我只能把它倒了。,"汤里掉进了一只苍蝇,我只能把它倒了",False
