global_test_id,context_status,source_context_preference,subcondition_label,pair_id,construction_candidate,preference_in_source_context,sentence_for_t5,t5_corrected,t5_edit_distance_norm,t5_edit_summary,t5_details,t5_corrected_to_paired_preferred
T0006,有语境,BA-preferred,物理状态改变,BA-PC-003,SVO,non-preferred,衬衫上有一块咖啡渍，我昨天洗干净了它。,"衬衫上有一块咖啡渍,我昨天清洗干净了它。",1,insert:->清@13:13,,False
T0013,有语境,BA-preferred,物理状态改变,BA-PC-007,BA,preferred,这个旧手机没用了，我准备把它卖了。,"这个旧手机没用了,我准备把它买了。",1,replace:卖->买@14:15,,False
T0014,有语境,BA-preferred,物理状态改变,BA-PC-007,SVO,non-preferred,这个旧手机没用了，我准备卖了它。,"这个旧手机没用了,我准备买了它。",1,replace:卖->买@12:13,,False
T0017,有语境,BA-preferred,物理状态改变,BA-PC-009,BA,preferred,那个花瓶快掉下来了，幸好我把它抓住了。,"那个花瓶快掉下来了,幸好我把它抓了。",1,delete:住->@16:17,,False
T0018,有语境,BA-preferred,物理状态改变,BA-PC-009,SVO,non-preferred,那个花瓶快掉下来了，幸好我抓住了它。,"那个花瓶快掉下来了,幸好我找到了它。",2,replace:抓住->找到@13:15,,False
T0045,有语境,BA-preferred,物理状态改变,BA-PC-023,BA,preferred,我的鞋子昨天淋湿了，我用吹风机把它吹干了。,"我的鞋子昨天浸湿了,我用吹风机把它吹干了。",1,replace:淋->浸@6:7,,False
T0046,有语境,BA-preferred,物理状态改变,BA-PC-023,SVO,non-preferred,我的鞋子昨天淋湿了，我用吹风机吹干了它。,"我的鞋子昨天浸湿了,我用吹风机吹干了它。",1,replace:淋->浸@6:7,,False
T0069,有语境,BA-preferred,物理状态改变,BA-PC-035,BA,preferred,我的铅笔头断了，我用小刀重新把它削尖了。,"我的橡皮头断了,我用小刀重新把它削尖了。",2,replace:铅笔->橡皮@2:4,,False
T0096,有语境,BA-preferred,物理状态改变,BA-PC-048,SVO,non-preferred,弟弟把口香糖吐在纸巾里，他包起它来了。,"弟弟把口香糖吐在纸巾里,他抱起他来了。",2,replace:包->抱@13:14 | replace:它->他@15:16,,False
T0106,有语境,BA-preferred,空间位移,BA-SD-003,SVO,non-preferred,这本书我看完了，昨天我放它回书架了。,"这本书我看完了,昨天我放他回书架了。",1,replace:它->他@12:13,,False
T0110,有语境,BA-preferred,空间位移,BA-SD-005,SVO,non-preferred,行李箱太重了，我叫人搬它上了楼。,"行李箱太重了,我叫人搬他上了楼。",1,replace:它->他@11:12,,False
T0112,有语境,BA-preferred,空间位移,BA-SD-006,SVO,non-preferred,刚买的啤酒不凉，我放它进了冰箱。,"刚买的啤酒不亮,我放他进了冰箱。",2,replace:凉->亮@6:7 | replace:它->他@10:11,,False
T0114,有语境,BA-preferred,空间位移,BA-SD-007,SVO,non-preferred,钱包掉在地上了，我捡起它来了。,"钱包掉在地上了,我捡起他来了。",1,replace:它->他@11:12,,False
T0115,有语境,BA-preferred,空间位移,BA-SD-008,BA,preferred,你的帽子掉在椅子下了，我把它拿走了。,"你的帽子掉在椅子底下了,我把它拿走了。",1,insert:->底@8:8,,False
T0116,有语境,BA-preferred,空间位移,BA-SD-008,SVO,non-preferred,你的帽子掉在椅子下了，我拿走了它。,"你的帽子掉在椅子底下了,我拿走了它。",1,insert:->底@8:8,,False
T0131,有语境,BA-preferred,空间位移,BA-SD-016,BA,preferred,这个抽屉太满了，我把不需要的东西拿出来了。,"这个口袋太满了,我把不需要的东西拿出来了。",2,replace:抽屉->口袋@2:4,,False
T0132,有语境,BA-preferred,空间位移,BA-SD-016,SVO,non-preferred,这个抽屉太满了，我拿出来不需要的东西了。,"这个口袋太满了,我拿出来不需要的东西了。",2,replace:抽屉->口袋@2:4,,False
T0134,有语境,BA-preferred,空间位移,BA-SD-017,SVO,non-preferred,刚买的鸡蛋怕摔碎，妈妈小心地放它进了篮子。,"刚买的鸡蛋怕摔碎,妈妈小心地放他进了篮子。",1,replace:它->他@15:16,,False
T0138,有语境,BA-preferred,空间位移,BA-SD-019,SVO,non-preferred,客厅的那个旧沙发，搬家公司今天早上已经运走它了。,"客厅的那个旧沙发,搬家公司今天早上已经运走他了。",1,replace:它->他@21:22,,False
T0140,有语境,BA-preferred,空间位移,BA-SD-020,SVO,non-preferred,你的身份证落在我这里了，我明天下午送它过去。,"你的身份证落在我这里了,我明天下午送他过去。",1,replace:它->他@18:19,,False
T0146,有语境,BA-preferred,空间位移,BA-SD-023,SVO,non-preferred,这封挂号信很重要，邮递员准时放它进了信箱。,"这封挂号信很重要,邮递员准时放他进了信箱。",1,replace:它->他@15:16,,False
T0150,有语境,BA-preferred,空间位移,BA-SD-025,SVO,non-preferred,那几本书实在太重了，我帮你拿它们上车吧。,"那几本书实在太重了,我帮你拿他们上车吧。",1,replace:它->他@14:15,,False
T0162,有语境,BA-preferred,空间位移,BA-SD-031,SVO,non-preferred,桌子上的书太乱了，我刚才收起它们来了。,"桌子上的书太乱了,我刚才收起他们来了。",1,replace:它->他@14:15,,False
T0170,有语境,BA-preferred,空间位移,BA-SD-035,SVO,non-preferred,口袋里的硬币掉出来了，我捡起来，又装它回去了。,"口袋里的硬币掉出来了,我捡起来,又装他回去了。",1,replace:它->他@18:19,,False
T0174,有语境,BA-preferred,空间位移,BA-SD-037,SVO,non-preferred,这盆花需要阳光，今天早上我搬它到阳台上了。,"这盆花需要阳光,今天早上我搬他到阳台上了。",1,replace:它->他@14:15,,False
T0177,有语境,BA-preferred,空间位移,BA-SD-039,BA,preferred,抽屉里的那份合同很重要，我把它拿出来了。,"革单里的那份合同很重要,我把它拿出来了。",2,replace:抽屉->革单@0:2,,False
T0178,有语境,BA-preferred,空间位移,BA-SD-039,SVO,non-preferred,抽屉里的那份合同很重要，我拿出它来了。,"衣柜里的那份合同很重要,我拿出它来了。",2,replace:抽屉->衣柜@0:2,,False
T0182,有语境,BA-preferred,空间位移,BA-SD-041,SVO,non-preferred,门口的那袋垃圾发臭了，我上班时顺手带它下楼了。,"门口的那袋垃圾发臭了,我上班时顺手带他下楼了。",1,replace:它->他@18:19,,False
T0188,有语境,BA-preferred,空间位移,BA-SD-044,SVO,non-preferred,护照是非常重要的东西，你一定要收好它。,"护照是非常重要的东西,你一定要收好他。",1,replace:它->他@17:18,,False
T0190,有语境,BA-preferred,空间位移,BA-SD-045,SVO,non-preferred,黑板擦不见了，原来是有同学下课后拿走它了。,"黑板擦不见了,原来是有同学下课后拿走他了。",1,replace:它->他@18:19,,False
T0196,有语境,BA-preferred,空间位移,BA-SD-048,SVO,non-preferred,这个广告牌在路边很容易挡住视线，警察昨天拆下它来了。,"这个广告牌在路边很容易挡住视线,警察昨天拆下他来了。",1,replace:它->他@22:23,,False
T0208,有语境,SVO-preferred,习惯性动作与泛指,SVO-HG-004,SVO,preferred,每天中午十二点，工厂的工人们都会准时去食堂吃午饭。,"每天中午十二点,工厂的工人们都会准时去食堂吃晚饭。",1,replace:午->晚@22:23,,False
T0211,有语境,SVO-preferred,习惯性动作与泛指,SVO-HG-006,BA,non-preferred,我平时不爱喝饮料，只把白开水喝了。,"我平时不爱喝饮料,只把矿泉水喝了。",2,replace:白开->矿泉@11:13,,False
T0212,有语境,SVO-preferred,习惯性动作与泛指,SVO-HG-006,SVO,preferred,我平时不爱喝饮料，只喝白开水。,"我平时不爱喝饮料,只喝开水。",1,delete:白->@11:12,,False
T0214,有语境,SVO-preferred,习惯性动作与泛指,SVO-HG-007,SVO,preferred,为了准备下个月的考试，他每天在图书馆背单词。,"为了准备下个月的考试,他每天在图书馆学英语。",3,replace:背单词->学英语@18:21,,False
T0249,有语境,SVO-preferred,习惯性动作与泛指,SVO-HG-025,BA,non-preferred,那位经理很有责任心，每天上班第一件事就是在电脑前把邮件回了。,"那位经理很有责任感,每天上班第一件事就是在电脑前把邮件回了。",1,replace:心->感@8:9,,False
T0250,有语境,SVO-preferred,习惯性动作与泛指,SVO-HG-025,SVO,preferred,那位经理很有责任心，每天上班第一件事就是在电脑前回邮件。,"那位经理很有责任感,每天上班第一件事就是在电脑前回邮件。",1,replace:心->感@8:9,,False
T0253,有语境,SVO-preferred,习惯性动作与泛指,SVO-HG-027,BA,non-preferred,弟弟放暑假了，每天下午做完作业后，他都会用平板电脑把游戏玩了。,"弟弟放暑假了,每天下午做完作业后,他都会用平板电脑把游戏完了。",1,replace:玩->完@28:29,,False
