dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_ba,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
svo_preferred,习惯性动作与泛指,1,弟弟非常喜欢运动，每天下午都去操场,把足球踢了,踢足球,svo,未运行,20.480525970458984,4.096105098724365,10.632908821105957,5.90943051288964,5.0,5.0,4.94529390335083,1.6484313011169434,3.789158344268799,2.378183663367556,3.0,3.0,32.205047607421875,6.441009521484375,11.564592361450195,9.292412494964104,5.0,5.0,16.876293182373047,5.625431060791016,12.103654861450195,8.115781494265939,3.0,3.0,正确_SVO,正确_SVO,SVO,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,2,老板每天到办公室以后，都会先在桌子前,把咖啡喝了,喝咖啡,svo,未运行,19.516998291015625,2.788142681121826,5.015385627746582,4.022439619345318,7.0,7.0,12.36491584777832,2.4729831218719482,6.327885627746582,3.5677604861267667,5.0,5.0,30.461997985839844,4.351714134216309,11.547563552856445,6.278196400800278,7.0,7.0,15.794261932373047,3.1588523387908936,13.106157302856445,4.557260604074126,5.0,5.0,正确_SVO,错误_把字句,SVO,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,3,她很喜欢阅读，她回家的第一件事就是坐在沙发上,把书看了,看书,svo,未运行,11.963203430175781,2.9908008575439453,3.7197413444519043,4.314813565465109,4.0,4.0,2.5397305488586426,1.2698652744293213,2.0322413444519043,1.8320283340162844,2.0,2.0,26.256378173828125,6.564094543457031,11.564592361450195,9.469986645771764,4.0,4.0,16.692594528198242,8.346297264099121,11.439592361450195,12.041161672700925,2.0,2.0,正确_SVO,正确_SVO,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,4,每天中午十二点，工厂的工人们都会准时去食堂,把午饭吃了,吃午饭,svo,未运行,14.203720092773438,2.8407440185546875,9.502829551696777,4.098327308003833,5.0,5.0,2.228776454925537,0.7429255247116089,0.47157955169677734,1.0718149702512692,3.0,3.0,30.517635345458984,6.103527069091797,11.547563552856445,8.805528234510286,5.0,5.0,19.904190063476562,6.634730339050293,11.328813552856445,9.571892557783409,3.0,3.0,正确_SVO,正确_SVO,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,5,这所学校的管理很严格，老师要求学生们要大声地,把课文读了,读课文,svo,未运行,18.497085571289062,3.6994171142578125,7.214535713195801,5.337130724919506,5.0,5.0,6.379223823547363,2.126408100128174,2.964535713195801,3.067758420961039,3.0,3.0,32.605445861816406,6.52108907699585,11.547563552856445,9.4079428725771,5.0,5.0,22.334335327148438,7.4447784423828125,12.180376052856445,10.740544939342746,3.0,3.0,正确_SVO,正确_SVO,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,6,我平时不爱喝饮料，只,把白开水喝了,喝白开水,svo,未运行,20.09774398803711,3.3496241569519043,7.354619979858398,4.832486160076387,6.0,6.0,6.646337509155273,1.6615843772888184,2.6671199798583984,2.3971595411331545,4.0,4.0,31.74274444580078,5.290457725524902,11.553613662719727,7.632517124647482,6.0,6.0,19.602224349975586,4.9005560874938965,13.116113662719727,7.070007965025666,4.0,4.0,正确_SVO,正确_SVO,SVO,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,7,为了准备下个月的考试，他每天在图书馆,把单词背了,背单词,svo,未运行,23.0130558013916,4.602611064910889,7.693901062011719,6.64016415848761,5.0,5.0,8.809340476989746,2.9364469051361084,7.256401062011719,4.236397387873608,3.0,3.0,33.4644775390625,6.692895412445068,11.564592361450195,9.655807020722994,5.0,5.0,21.207111358642578,7.069037437438965,11.330217361450195,10.198465254851621,3.0,3.0,正确_SVO,正确_SVO,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,8,每天晚上睡觉以前，我都去卫生间,把牙刷了,刷牙,svo,未运行,16.40386199951172,4.10096549987793,4.180092811584473,5.916442589530618,4.0,4.0,3.226438522338867,1.6132192611694336,3.1175928115844727,2.3273834279556995,2.0,2.0,34.172080993652344,8.543020248413086,11.553613662719727,12.32497294659956,4.0,4.0,14.410197257995605,7.205098628997803,13.787439346313477,10.394760061170999,2.0,2.0,正确_SVO,正确_SVO,SVO,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,9,每个周末去公园的时候，奶奶总在湖边,把歌听了,听歌,svo,未运行,25.8515567779541,6.462889194488525,7.061481475830078,9.323978190703464,4.0,4.0,11.23367691040039,5.616838455200195,7.936481475830078,8.103384984791749,2.0,2.0,30.350948333740234,7.587737083435059,11.564592361450195,10.946790661841046,4.0,4.0,15.995782852172852,7.997891426086426,9.845842361450195,11.538518297983247,2.0,2.0,正确_SVO,错误_把字句,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,10,弟弟不开心的时候，喜欢在房间里,把吉他弹了,弹吉他,svo,未运行,21.31951904296875,4.263904094696045,5.2990570068359375,6.151513292244129,5.0,5.0,6.6550703048706055,2.2183568477630615,5.3615570068359375,3.2004124231898423,3.0,3.0,32.13346862792969,6.426693916320801,11.553613662719727,9.27175944238729,5.0,5.0,24.45932388305664,8.153108596801758,13.026269912719727,11.762449340435072,3.0,3.0,正确_SVO,错误_把字句,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,11,每天早上吃早饭的时候，弟弟都会,把牛奶喝了,喝牛奶,svo,未运行,15.542671203613281,3.108534336090088,3.692331314086914,4.484667071110236,5.0,5.0,8.693291664123535,2.897763967514038,6.004831314086914,4.18058970559923,3.0,3.0,26.834674835205078,5.3669352531433105,11.564592361450195,7.7428508744820075,5.0,5.0,16.37566375732422,5.458554744720459,13.111467361450195,7.8750298606291285,3.0,3.0,正确_SVO,错误_把字句,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,12,每天早上六点起床后，爷爷常常坐在院子里,把广播听了,听广播,svo,未运行,21.54839324951172,4.309678554534912,8.602152824401855,6.217551878453034,5.0,5.0,9.017539024353027,3.0058465003967285,5.9146528244018555,4.336519839795806,3.0,3.0,34.27375793457031,6.8547515869140625,11.547563552856445,9.88931612096667,5.0,5.0,20.443817138671875,6.814605712890625,9.860063552856445,9.831397867600904,3.0,3.0,正确_SVO,正确_SVO,SVO,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,13,每天下班回家后，爸爸总是习惯坐在沙发上打开手机,把新闻看了,看新闻,svo,未运行,17.89609146118164,4.47402286529541,8.449441909790039,6.454650600585519,4.0,4.0,3.649272918701172,1.824636459350586,2.3869423866271973,2.6323939713302873,2.0,2.0,33.27367401123047,8.318418502807617,11.535648345947266,12.000941122039546,4.0,4.0,19.053794860839844,9.526897430419922,11.426273345947266,13.744407677924631,2.0,2.0,正确_SVO,正确_SVO,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,14,每天晚上睡觉前，妹妹都会坐在书桌前安静地,把日记写了,写日记,svo,未运行,16.5954532623291,3.3190906047821045,8.23609447479248,4.788435555780293,5.0,5.0,4.471469879150391,1.4904899597167969,2.7985942363739014,2.1503224733782136,3.0,3.0,26.500240325927734,5.300048351287842,11.547563552856445,7.646353472874696,5.0,5.0,17.959922790527344,5.986640930175781,11.563188552856445,8.636897181547491,3.0,3.0,正确_SVO,正确_SVO,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
svo_preferred,习惯性动作与泛指,15,每个周末下午五点，邻居家的女儿都会在自己的房间里,把钢琴弹了,弹钢琴,svo,未运行,21.551483154296875,4.310296535491943,6.737700939178467,6.2184434365151064,5.0,5.0,3.1573429107666016,1.0524476766586304,1.1127010583877563,1.5183610439105173,3.0,3.0,33.9881591796875,6.797631740570068,11.535648345947266,9.806909601909851,5.0,5.0,20.544986724853516,6.848329067230225,12.977054595947266,9.880050383668786,3.0,3.0,正确_SVO,正确_SVO,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
