dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_svo,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
ba_preferred,物理状态改变,1,那个苹果坏了，我,把它扔了,扔了它,ba,未运行,3.662202835083008,1.2207343578338623,1.9461548328399658,1.7611474042896864,3.0,3.0,5.486194610595703,1.8287315368652344,2.446154832839966,2.638301919352726,3.0,3.0,15.08928108215332,7.54464054107666,11.488569259643555,10.884615493901123,3.0,2.0,13.97848129272461,6.989240646362305,8.8580904006958,10.08334282008647,3.0,2.0,正确_把字句,正确_把字句,SVO,是,Qwen3-14B-Base,Qwen/Qwen3-14B-Base
ba_preferred,物理状态改变,2,这杯牛奶太凉了，弟弟刚才,把它加热了,加热了它,ba,未运行,10.854694366455078,3.6182315349578857,2.1257848739624023,5.220004692271804,3.0,3.0,8.879194259643555,2.9597315788269043,5.750784873962402,4.2699900711360375,3.0,3.0,18.167707443237305,9.083853721618652,13.638959884643555,13.105230716339985,3.0,2.0,13.899515151977539,6.9497575759887695,7.4212446212768555,10.026380790259502,3.0,2.0,错误_SVO,正确_把字句,SVO,是,Qwen3-14B-Base,Qwen/Qwen3-14B-Base
ba_preferred,物理状态改变,3,衬衫上有一块咖啡渍，我昨天,把它洗干净了,洗干净了它,ba,未运行,9.104347229003906,3.0347824096679688,4.608809471130371,4.378265532605037,3.0,3.0,14.303515434265137,4.767838478088379,8.358809471130371,6.878536928097687,3.0,3.0,15.354122161865234,7.677061080932617,13.170209884643555,11.075657950063151,3.0,2.0,14.300174713134766,7.150087356567383,6.599118232727051,10.315395571242641,3.0,2.0,正确_把字句,正确_把字句,SVO,是,Qwen3-14B-Base,Qwen/Qwen3-14B-Base
ba_preferred,物理状态改变,4,这块蛋糕太甜了，但我还是,把它吃完了,吃完了它,ba,未运行,2.5129554271698,0.8376518487930298,2.041426181793213,1.208476168245176,3.0,3.0,4.926713466644287,1.642237901687622,2.291426181793213,2.3692484767246293,3.0,3.0,14.740198135375977,7.370099067687988,11.154584884643555,10.632805375813835,3.0,2.0,18.20661163330078,9.10330581665039,9.070924758911133,13.133294157377174,3.0,2.0,正确_把字句,正确_把字句,把字句,是,Qwen3-14B-Base,Qwen/Qwen3-14B-Base
ba_preferred,物理状态改变,5,刚才有一只蚊子，我一巴掌,把它打死了,打死了它,ba,未运行,5.2993669509887695,1.7664556503295898,2.2084784507751465,2.5484568066807882,3.0,3.0,7.002170562744141,2.334056854248047,1.5834784507751465,3.3673322487765516,3.0,3.0,14.60297679901123,7.301488399505615,8.482709884643555,10.533821105075045,3.0,2.0,18.55838394165039,9.279191970825195,12.276555061340332,13.387044239766196,3.0,2.0,正确_把字句,错误_SVO,把字句,是,Qwen3-14B-Base,Qwen/Qwen3-14B-Base
ba_preferred,物理状态改变,6,桌子上的那张废纸，我,把它撕了,撕了它,ba,未运行,8.508838653564453,2.8362796306610107,2.9214727878570557,4.091886557729021,3.0,3.0,9.615527153015137,3.2051758766174316,6.671472549438477,4.624091342372905,3.0,3.0,15.651565551757812,7.825782775878906,12.849897384643555,11.290218001834765,3.0,2.0,15.882728576660156,7.941364288330078,8.521438598632812,11.456966876666517,3.0,2.0,正确_把字句,正确_把字句,把字句,是,Qwen3-14B-Base,Qwen/Qwen3-14B-Base
ba_preferred,物理状态改变,7,这个旧手机没用了，我准备,把它卖了,卖了它,ba,未运行,3.9804930686950684,1.3268311023712158,1.6899968385696411,1.9142126514881896,3.0,3.0,5.7834153175354,1.9278051853179932,2.9399967193603516,2.781234980658298,3.0,3.0,12.251240730285645,6.125620365142822,9.826459884643555,8.837402123159992,3.0,2.0,14.791919708251953,7.395959854125977,8.160234451293945,10.670114604161409,3.0,2.0,正确_把字句,正确_把字句,把字句,是,Qwen3-14B-Base,Qwen/Qwen3-14B-Base
ba_preferred,物理状态改变,8,这封信是写给你的，我,把它拆开了,拆开了它,ba,未运行,13.105281829833984,4.368427276611328,4.350018501281738,6.302308368451243,3.0,3.0,13.940896987915039,4.646965980529785,9.662518501281738,6.70415477529004,3.0,3.0,20.044158935546875,10.022079467773438,12.467084884643555,14.45880434755184,3.0,2.0,18.633522033691406,9.316761016845703,11.9256591796875,13.441244916150913,3.0,2.0,正确_把字句,正确_把字句,SVO,是,Qwen3-14B-Base,Qwen/Qwen3-14B-Base
ba_preferred,物理状态改变,9,那个花瓶快掉下来了，幸好我,把它抓住了,抓住了它,ba,未运行,6.275146484375,2.0917155742645264,3.0845999717712402,3.0177076859416427,3.0,3.0,4.611330032348633,1.5371100902557373,3.7095999717712402,2.2175811045123393,3.0,3.0,13.49724292755127,6.748621463775635,11.590131759643555,9.736202718625925,3.0,2.0,13.746980667114258,6.873490333557129,7.199898719787598,9.916350417821096,3.0,2.0,错误_SVO,正确_把字句,把字句,是,Qwen3-14B-Base,Qwen/Qwen3-14B-Base
ba_preferred,物理状态改变,10,这首曲子太吵了，我,把它关了,关了它,ba,未运行,7.46821403503418,2.4894046783447266,4.471689224243164,3.591451784213722,3.0,3.0,9.71606731414795,3.2386891841888428,4.721689224243164,4.672440825009966,3.0,3.0,13.314855575561523,6.657427787780762,10.717084884643555,9.604638054507687,3.0,2.0,16.585983276367188,8.292991638183594,9.77029037475586,11.964257910541113,3.0,2.0,正确_把字句,正确_把字句,把字句,是,Qwen3-14B-Base,Qwen/Qwen3-14B-Base
