dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_ba,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
svo_preferred,习惯性动作与泛指,1,弟弟非常喜欢运动，每天下午都去操场,把足球踢了,踢足球,svo,未运行,22.941944122314453,4.588388919830322,6.604029178619385,6.6196459403090735,5.0,5.0,9.454385757446289,3.1514620780944824,6.604029178619385,4.546598711616537,3.0,3.0,40.1583137512207,8.031662940979004,4.762373924255371,11.587240295042076,5.0,5.0,27.30845069885254,9.10281753540039,4.762373924255371,13.13258971643924,3.0,3.0,正确_SVO,错误_把字句,把字句,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,2,老板每天到办公室以后，都会先在桌子前,把咖啡喝了,喝咖啡,svo,未运行,24.47154426574707,6.117886066436768,7.482795715332031,8.826243888772012,4.0,4.0,19.081266403198242,6.360422134399414,7.482795715332031,9.17614947125843,3.0,3.0,42.799556732177734,10.699889183044434,4.762373924255371,15.436677062439667,4.0,4.0,26.57779312133789,8.859264373779297,4.762373924255371,12.78121677797566,3.0,3.0,错误_把字句,错误_把字句,SVO,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,3,她很喜欢阅读，她回家的第一件事就是坐在沙发上,把书看了,看书,svo,未运行,17.55906867980957,4.389767169952393,4.485950469970703,6.333095326747497,4.0,4.0,7.481396675109863,3.7406983375549316,4.485950469970703,5.3966869410520895,2.0,2.0,39.08251953125,9.7706298828125,4.750876426696777,14.096039278295107,4.0,4.0,21.98937225341797,10.994686126708984,4.750876426696777,15.861979151133738,2.0,2.0,正确_SVO,错误_把字句,把字句,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,4,每天中午十二点，工厂的工人们都会准时去食堂,把午饭吃了,吃午饭,svo,未运行,23.649192810058594,4.729838848114014,7.082794666290283,6.823715050378055,5.0,5.0,9.683967590332031,2.420991897583008,7.082794666290283,3.4927530046753668,4.0,4.0,42.175132751464844,8.435027122497559,4.722262859344482,12.169171799391131,5.0,5.0,31.982746124267578,7.9956865310668945,4.722262859344482,11.535337306872888,4.0,4.0,正确_SVO,错误_把字句,SVO,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,5,这所学校的管理很严格，老师要求学生们要大声地,把课文读了,读课文,svo,未运行,22.62767219543457,5.656918048858643,7.248488426208496,8.161207615803635,4.0,4.0,12.375665664672852,4.125222206115723,7.248488426208496,5.951437619328183,3.0,3.0,44.13840103149414,11.034600257873535,4.750876426696777,15.919563070226227,4.0,4.0,30.127384185791016,10.042461395263672,4.750876426696777,14.48820925326576,3.0,3.0,正确_SVO,错误_把字句,SVO,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,6,我平时不爱喝饮料，只,把白开水喝了,喝白开水,svo,未运行,27.368799209594727,5.47376012802124,8.892746925354004,7.896966591711981,5.0,5.0,11.555887222290039,2.8889718055725098,8.892746925354004,4.167905297167494,4.0,4.0,42.74882507324219,8.549765586853027,4.776407241821289,12.33470441291598,5.0,5.0,29.69361686706543,7.423404216766357,4.776407241821289,10.709708450043044,4.0,4.0,正确_SVO,错误_把字句,SVO,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,7,为了准备下个月的考试，他每天在图书馆,把单词背了,背单词,svo,未运行,25.767250061035156,5.153450012207031,7.211116790771484,7.434856776080252,5.0,5.0,14.971175193786621,4.990391731262207,7.211116790771484,7.199613402785275,3.0,3.0,42.30119323730469,8.460238456726074,4.762373924255371,12.205544066256804,5.0,5.0,28.97720718383789,9.659069061279297,4.762373924255371,13.935091034311657,3.0,3.0,正确_SVO,错误_把字句,把字句,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,8,每天晚上睡觉以前，我都去卫生间,把牙刷了,刷牙,svo,未运行,18.338701248168945,3.6677403450012207,6.858184337615967,5.291430807001637,5.0,5.0,11.370962142944336,5.685481071472168,6.858184337615967,8.202415346880967,2.0,2.0,42.01966857910156,8.40393352508545,4.762373924255371,12.124313220601284,5.0,5.0,21.70284652709961,10.851423263549805,4.762373924255371,15.655294528910435,2.0,2.0,错误_把字句,错误_把字句,把字句,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,9,每个周末去公园的时候，奶奶总在湖边,把歌听了,听歌,svo,未运行,29.740093231201172,7.435023307800293,6.364882469177246,10.72647125505734,4.0,4.0,17.114532470703125,5.7048444747924805,6.364882469177246,8.230350832825915,3.0,3.0,40.6881103515625,10.172027587890625,4.762373924255371,14.67513375683553,4.0,4.0,27.9427490234375,9.314249992370605,4.762373924255371,13.437622273593139,3.0,3.0,正确_SVO,错误_把字句,SVO,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,10,弟弟不开心的时候，喜欢在房间里,把吉他弹了,弹吉他,svo,未运行,25.628429412841797,5.125686168670654,6.781554222106934,7.394802016694304,5.0,5.0,14.073456764221191,4.691152572631836,6.781554222106934,6.767902552589453,3.0,3.0,42.871009826660156,8.574202537536621,4.762373924255371,12.36995948048165,5.0,5.0,31.844682693481445,10.61489486694336,4.762373924255371,15.314056184096899,3.0,3.0,正确_SVO,错误_把字句,把字句,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,11,每天早上吃早饭的时候，弟弟都会,把牛奶喝了,喝牛奶,svo,未运行,22.634784698486328,5.658696174621582,8.319315910339355,8.163772909023905,4.0,4.0,16.521137237548828,5.507045745849609,8.319315910339355,7.944987587485895,3.0,3.0,43.69268035888672,10.92317008972168,4.762373924255371,15.758803319228122,4.0,4.0,28.64029312133789,9.546764373779297,4.762373924255371,13.773069618586822,3.0,3.0,正确_SVO,错误_把字句,SVO,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,12,每天早上六点起床后，爷爷常常坐在院子里,把广播听了,听广播,svo,未运行,30.80034637451172,7.70008659362793,7.237442970275879,11.108876743042606,4.0,4.0,15.082201957702637,5.027400970458984,7.237442970275879,7.253006448641539,3.0,3.0,46.16872024536133,11.542180061340332,4.750876426696777,16.651845935543168,4.0,4.0,30.798627853393555,10.266209602355957,4.750876426696777,14.811009682045597,3.0,3.0,正确_SVO,错误_把字句,SVO,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,13,每天下班回家后，爸爸总是习惯坐在沙发上打开手机,把新闻看了,看新闻,svo,未运行,22.82464599609375,5.7061614990234375,6.981037139892578,8.232250897152648,4.0,4.0,11.415132522583008,3.805044174194336,6.981037139892578,5.4895183604736095,3.0,3.0,42.63442611694336,10.65860652923584,4.750876426696777,15.377118782515273,4.0,4.0,30.431507110595703,10.14383602142334,4.750876426696777,14.634461923698286,3.0,3.0,正确_SVO,错误_把字句,SVO,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,14,每天晚上睡觉前，妹妹都会坐在书桌前安静地,把日记写了,写日记,svo,未运行,25.792036056518555,6.448009014129639,8.344175338745117,9.302510628292165,4.0,4.0,12.627870559692383,4.209290504455566,8.344175338745117,6.072722536439049,3.0,3.0,40.42903137207031,10.107257843017578,4.750876426696777,14.581690767107542,4.0,4.0,28.929061889648438,9.643020629882812,4.750876426696777,13.911938041921902,3.0,3.0,正确_SVO,错误_把字句,SVO,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,15,每个周末下午五点，邻居家的女儿都会在自己的房间里,把钢琴弹了,弹钢琴,svo,未运行,23.8608341217041,4.772166728973389,6.133615016937256,6.884781274185214,5.0,5.0,9.203962326049805,3.0679874420166016,6.133615016937256,4.426170268106968,3.0,3.0,43.36282730102539,8.672565460205078,4.750876426696777,12.511867181222778,5.0,5.0,31.429655075073242,10.47655200958252,4.750876426696777,15.114469629840006,3.0,3.0,正确_SVO,错误_把字句,把字句,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
svo_preferred,习惯性动作与泛指,16,每次去超市，她习惯推着车子,把零食买了,买零食,svo,未运行,22.945188522338867,5.736297130584717,6.118634223937988,8.275727423360161,4.0,4.0,16.25688934326172,5.418963432312012,6.118634223937988,7.817911670555175,3.0,3.0,44.10462188720703,11.026155471801758,4.762373924255371,15.907379819239106,4.0,4.0,32.69023895263672,10.896746635437012,4.762373924255371,15.720682332768474,3.0,3.0,正确_SVO,错误_把字句,SVO,是,Yi-1.5-6B-Base,01-ai/Yi-1.5-6B
