dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_svo,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
ba_preferred,物理状态改变,1,那个苹果坏了，我,把它扔了,扔了它,ba,未运行,6.502150058746338,1.3004300594329834,4.5834059715271,1.876123997766905,5.0,5.0,9.200895309448242,2.3002238273620605,7.9584059715271,3.318521508669876,4.0,4.0,26.116113662719727,5.223222732543945,11.553613662719727,7.53551753369965,5.0,5.0,28.12003517150879,7.030008792877197,10.866113662719727,10.14215882288974,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
ba_preferred,物理状态改变,2,这杯牛奶太凉了，弟弟刚才,把它加热了,加热了它,ba,未运行,13.6094388961792,2.7218878269195557,3.379225730895996,3.9268540697528804,5.0,5.0,13.827886581420898,3.4569716453552246,7.066725730895996,4.987355849247743,4.0,4.0,29.506549835205078,5.901309967041016,11.553613662719727,8.513790624198686,5.0,5.0,28.800058364868164,7.200014591217041,10.256738662719727,10.387425345077002,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
ba_preferred,物理状态改变,3,衬衫上有一块咖啡渍，我昨天,把它洗干净了,洗干净了它,ba,未运行,9.220682144165039,1.5367803573608398,3.9484782218933105,2.217105400500053,6.0,6.0,13.728935241699219,2.7457871437072754,3.3859782218933105,3.961333495563158,5.0,5.0,31.165538787841797,5.194256782531738,11.547563552856445,7.493728501262402,6.0,6.0,33.87370681762695,6.7747416496276855,11.977251052856445,9.773886181221778,5.0,5.0,正确_把字句,错误_SVO,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
ba_preferred,物理状态改变,4,这块蛋糕太甜了，但我还是,把它吃完了,吃完了它,ba,未运行,7.2790632247924805,1.455812692642212,3.8880157470703125,2.100293752138128,5.0,5.0,10.132923126220703,2.533230781555176,3.0755157470703125,3.654679485976925,4.0,4.0,29.73737907409668,5.947475910186768,11.553613662719727,8.580394001433024,5.0,5.0,26.748973846435547,6.687243461608887,11.319238662719727,9.647652979280286,4.0,4.0,正确_把字句,错误_SVO,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
ba_preferred,物理状态改变,5,刚才有一只蚊子，我一巴掌,把它打死了,打死了它,ba,未运行,5.255640983581543,1.0511282682418823,3.0620527267456055,1.5164575399307678,5.0,5.0,3.314518451690674,0.8286296129226685,2.1870527267456055,1.1954598332972752,4.0,4.0,32.978477478027344,6.595695495605469,11.553613662719727,9.515577182723684,5.0,5.0,27.346755981445312,6.836688995361328,11.100488662719727,9.863257309707938,4.0,4.0,错误_SVO,错误_SVO,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
ba_preferred,物理状态改变,6,桌子上的那张废纸，我,把它撕了,撕了它,ba,未运行,9.127845764160156,1.8255691528320312,3.9114725589752197,2.6337395635906375,5.0,5.0,12.034334182739258,3.0085835456848145,6.911472320556641,4.340468561459616,4.0,4.0,29.735206604003906,5.9470415115356445,11.553613662719727,8.57976729665328,5.0,5.0,30.65699005126953,7.664247512817383,12.647363662719727,11.05717187888721,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
ba_preferred,物理状态改变,7,这个旧手机没用了，我准备,把它卖了,卖了它,ba,未运行,5.286004066467285,1.3215010166168213,2.2151074409484863,1.9065229632028118,4.0,4.0,4.798821449279785,1.599607229232788,1.1526073217391968,2.307745416984279,3.0,3.0,25.129436492919922,6.2823591232299805,11.553613662719727,9.06352835216743,4.0,4.0,24.377788543701172,8.125929832458496,12.686426162719727,11.723238671899558,3.0,3.0,正确_把字句,错误_SVO,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
ba_preferred,物理状态改变,8,这封信是写给你的，我,把它拆开了,拆开了它,ba,未运行,14.290947914123535,2.3818247318267822,4.535761833190918,3.436246728873184,6.0,6.0,16.863840103149414,3.3727681636810303,8.535761833190918,4.865875903810799,5.0,5.0,29.10207748413086,4.850346565246582,11.553613662719727,6.9975709362740615,6.0,6.0,28.265979766845703,5.653195858001709,11.366113662719727,8.155837629513094,5.0,5.0,正确_把字句,正确_把字句,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
ba_preferred,物理状态改变,9,那个花瓶快掉下来了，幸好我,把它抓住了,抓住了它,ba,未运行,7.764558792114258,1.5529117584228516,3.9621195793151855,2.240378092814808,5.0,5.0,4.309030055999756,1.077257513999939,3.3371195793151855,1.554154073208085,4.0,4.0,29.13485336303711,5.82697057723999,11.553613662719727,8.406541555190035,5.0,5.0,25.322765350341797,6.330691337585449,14.172754287719727,9.133256998133247,4.0,4.0,错误_SVO,错误_SVO,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
ba_preferred,物理状态改变,10,这首曲子太吵了，我,把它关了,关了它,ba,未运行,12.322565078735352,3.080641269683838,5.706226825714111,4.444425882530753,4.0,4.0,12.988801956176758,4.329600811004639,8.206226348876953,6.246293619065226,3.0,3.0,27.766170501708984,6.941542625427246,11.553613662719727,10.014529121823244,4.0,4.0,26.42406463623047,8.808021545410156,10.147363662719727,12.707289003606377,3.0,3.0,正确_把字句,正确_把字句,把字句,是,Llama-3.1-8B-Instruct,meta-llama/Llama-3.1-8B-Instruct
