dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_ba,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
svo_preferred,习惯性动作与泛指,1,弟弟非常喜欢运动，每天下午都去操场,把足球踢了,踢足球,svo,未运行,18.613384246826172,4.653346061706543,10.021808624267578,6.713359286764218,4.0,4.0,3.773594379425049,1.8867971897125244,3.459308624267578,2.722072948761492,2.0,2.0,25.498912811279297,8.499637603759766,16.176666259765625,12.262385020297566,4.0,3.0,16.26712989807129,16.26712989807129,16.26712989807129,23.468507633444037,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base
svo_preferred,习惯性动作与泛指,2,老板每天到办公室以后，都会先在桌子前,把咖啡喝了,喝咖啡,svo,未运行,16.74713134765625,5.5823774337768555,4.944458961486816,8.053668240080327,3.0,3.0,8.039260864257812,4.019630432128906,4.194458961486816,5.7991008906387345,2.0,2.0,22.037357330322266,11.018678665161133,12.654205322265625,15.89659306737699,3.0,2.0,12.274511337280273,12.274511337280273,12.274511337280273,17.70837663562961,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base
svo_preferred,习惯性动作与泛指,3,她很喜欢阅读，她回家的第一件事就是坐在沙发上,把书看了,看书,svo,未运行,12.10406494140625,4.034688472747803,3.9779229164123535,5.820825051165121,3.0,3.0,3.3529229164123535,3.3529229164123535,3.3529229164123535,4.837245263991063,1.0,1.0,23.15707015991211,11.578535079956055,15.212799072265625,16.7042951406115,3.0,2.0,,,,,1.0,0.0,正确_SVO,正确_SVO,把字句,否,Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base
svo_preferred,习惯性动作与泛指,4,每天中午十二点，工厂的工人们都会准时去食堂,把午饭吃了,吃午饭,svo,未运行,15.929194450378418,5.309731483459473,6.970236301422119,7.66032327963898,3.0,3.0,2.9332666397094727,1.4666333198547363,2.2202365398406982,2.115904617356945,2.0,2.0,21.800708770751953,10.900354385375977,15.298736572265625,15.725887215714186,3.0,2.0,14.871554374694824,14.871554374694824,14.871554374694824,21.45511774668279,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base
svo_preferred,习惯性动作与泛指,5,这所学校的管理很严格，老师要求学生们要大声地,把课文读了,读课文,svo,未运行,18.310867309570312,4.577716827392578,6.03672456741333,6.6042493654732315,4.0,4.0,4.983148097991943,2.4915740489959717,3.53672456741333,3.5945815244941235,2.0,2.0,23.752653121948242,7.917551040649414,11.919830322265625,11.422611622330162,4.0,3.0,11.882400512695312,11.882400512695312,11.882400512695312,17.142680293522005,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base
svo_preferred,习惯性动作与泛指,6,我平时不爱喝饮料，只,把白开水喝了,喝白开水,svo,未运行,15.092257499694824,3.773064374923706,7.034399509429932,5.4433812626572475,4.0,4.0,2.948230266571045,0.9827434420585632,0.28439968824386597,1.4177990903240396,3.0,3.0,27.599796295166016,9.199932098388672,16.163970947265625,13.272696414860532,4.0,3.0,20.944175720214844,10.472087860107422,16.208105087280273,15.108029223530496,3.0,2.0,正确_SVO,正确_SVO,把字句,是,Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base
svo_preferred,习惯性动作与泛指,7,为了准备下个月的考试，他每天在图书馆,把单词背了,背单词,svo,未运行,16.985145568847656,4.246286392211914,7.918053150177002,6.126096320238417,4.0,4.0,9.172027587890625,4.5860137939453125,7.418053150177002,6.616219357973283,2.0,2.0,29.729284286499023,9.909761428833008,15.021392822265625,14.29676366977011,4.0,3.0,15.557430267333984,15.557430267333984,15.557430267333984,22.4446274956586,2.0,1.0,错误_把字句,正确_SVO,把字句,是,Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base
svo_preferred,习惯性动作与泛指,8,每天晚上睡觉以前，我都去卫生间,把牙刷了,刷牙,svo,未运行,19.50537872314453,4.876344680786133,5.691143035888672,7.03507828863543,4.0,4.0,5.576282978057861,2.7881414890289307,5.378643035888672,4.022437899518809,2.0,2.0,28.925466537475586,9.641822814941406,14.732330322265625,13.910209960246032,4.0,3.0,14.601787567138672,14.601787567138672,14.601787567138672,21.065926511225083,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base
svo_preferred,习惯性动作与泛指,9,每个周末去公园的时候，奶奶总在湖边,把歌听了,听歌,svo,未运行,28.35057830810547,9.450193405151367,6.060819625854492,13.633747161053465,3.0,3.0,11.662866592407227,5.831433296203613,6.373319625854492,8.412979897707736,2.0,2.0,28.769393920898438,14.384696960449219,14.185455322265625,20.752730969530635,3.0,2.0,13.708623886108398,13.708623886108398,13.708623886108398,19.777363697900576,2.0,1.0,正确_SVO,错误_把字句,SVO,是,Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base
svo_preferred,习惯性动作与泛指,10,弟弟不开心的时候，喜欢在房间里,把吉他弹了,弹吉他,svo,未运行,19.10788917541504,4.77697229385376,4.8574090003967285,6.891714238806795,4.0,4.0,6.739696979522705,3.3698484897613525,5.1074090003967285,4.861663704725866,2.0,2.0,21.74169921875,7.2472333908081055,15.306549072265625,10.45554767308376,4.0,3.0,15.851282119750977,15.851282119750977,15.851282119750977,22.86856610589663,2.0,1.0,正确_SVO,错误_把字句,把字句,是,Qwen3-0.6B-Base,Qwen/Qwen3-0.6B-Base
