dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_svo,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
ba_preferred,物理状态改变,1,那个苹果坏了，我,把它扔了,扔了它,ba,未运行,12.755638122558594,2.1259398460388184,5.066485404968262,3.0670828731084496,6.0,6.0,15.066986083984375,3.7667465209960938,5.253985404968262,5.43426652612682,4.0,4.0,34.438232421875,5.739705562591553,11.524871826171875,8.28064475131363,6.0,6.0,28.339025497436523,7.084756374359131,13.286102294921875,10.221142887194391,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Pythia-410M-Base,EleutherAI/pythia-410m
ba_preferred,物理状态改变,2,这杯牛奶太凉了，弟弟刚才,把它加热了,加热了它,ba,未运行,19.648822784423828,2.4561028480529785,3.884014129638672,3.5434073987992916,8.0,8.0,17.86606216430664,2.9776771068573,6.634014129638672,4.295879995431623,6.0,6.0,38.84650421142578,4.855813026428223,11.524871826171875,7.005457372712026,8.0,8.0,31.689157485961914,5.281526565551758,13.020965576171875,7.61963218444484,6.0,6.0,正确_把字句,正确_把字句,把字句,是,Pythia-410M-Base,EleutherAI/pythia-410m
ba_preferred,物理状态改变,3,衬衫上有一块咖啡渍，我昨天,把它洗干净了,洗干净了它,ba,未运行,21.700336456298828,2.1700336933135986,4.221450328826904,3.1306968479054906,10.0,10.0,22.240297317504883,2.7800371646881104,5.158950328826904,4.010745830982551,8.0,8.0,47.74338150024414,4.774338245391846,11.524871826171875,6.887914110153331,10.0,10.0,47.988494873046875,5.998561859130859,12.960418701171875,8.654095446633772,8.0,8.0,正确_把字句,正确_把字句,把字句,是,Pythia-410M-Base,EleutherAI/pythia-410m
ba_preferred,物理状态改变,4,这块蛋糕太甜了，但我还是,把它吃完了,吃完了它,ba,未运行,17.383949279785156,2.4834213256835938,5.058835029602051,3.582819631001616,7.0,7.0,16.799535751342773,3.3599071502685547,4.746335029602051,4.847321383539813,5.0,5.0,36.62738800048828,5.232484340667725,11.524871826171875,7.548879209810484,7.0,7.0,28.420486450195312,5.6840972900390625,9.235809326171875,8.200418972269752,5.0,5.0,正确_把字句,错误_SVO,把字句,是,Pythia-410M-Base,EleutherAI/pythia-410m
ba_preferred,物理状态改变,5,刚才有一只蚊子，我一巴掌,把它打死了,打死了它,ba,未运行,19.535675048828125,2.4419593811035156,5.92497444152832,3.5230026891703243,8.0,8.0,16.331275939941406,2.721879482269287,2.862474203109741,3.92684203096732,6.0,6.0,38.035762786865234,4.754470348358154,11.524871826171875,6.859250793629932,8.0,8.0,32.95167922973633,5.491946697235107,13.286102294921875,7.9232042649276115,6.0,6.0,正确_把字句,错误_SVO,把字句,是,Pythia-410M-Base,EleutherAI/pythia-410m
ba_preferred,物理状态改变,6,桌子上的那张废纸，我,把它撕了,撕了它,ba,未运行,13.82998275756836,2.304997205734253,4.302096366882324,3.3254080379757247,6.0,6.0,14.207340240478516,3.551835060119629,7.302096366882324,5.124214827290142,4.0,4.0,32.84124755859375,5.473541259765625,11.524871826171875,7.896650831564997,6.0,6.0,29.335351943969727,7.333837985992432,13.098602294921875,10.580491693074384,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Pythia-410M-Base,EleutherAI/pythia-410m
ba_preferred,物理状态改变,7,这个旧手机没用了，我准备,把它卖了,卖了它,ba,未运行,18.323287963867188,3.0538814067840576,6.07208251953125,4.405819561030372,6.0,6.0,16.96562957763672,4.24140739440918,8.44708251953125,6.119057414303904,4.0,4.0,32.432823181152344,5.405470848083496,11.524871826171875,7.798445986199919,6.0,6.0,28.79135513305664,7.19783878326416,11.587371826171875,10.384286317733455,4.0,4.0,正确_把字句,正确_把字句,把字句,是,Pythia-410M-Base,EleutherAI/pythia-410m
ba_preferred,物理状态改变,8,这封信是写给你的，我,把它拆开了,拆开了它,ba,未运行,17.41195297241211,2.487421989440918,4.997690200805664,3.588591368764572,7.0,7.0,17.78356170654297,3.5567123889923096,7.185190200805664,5.131251325467543,5.0,5.0,40.750179290771484,5.8214545249938965,11.524871826171875,8.398583573969312,7.0,7.0,36.31847381591797,7.263694763183594,14.091278076171875,10.479296413376105,5.0,5.0,正确_把字句,正确_把字句,把字句,是,Pythia-410M-Base,EleutherAI/pythia-410m
ba_preferred,物理状态改变,9,那个花瓶快掉下来了，幸好我,把它抓住了,抓住了它,ba,未运行,19.653167724609375,2.456645965576172,5.213423728942871,3.5441909517566224,8.0,8.0,21.21651840209961,3.5360865592956543,5.213423728942871,5.101494543249958,6.0,6.0,40.31907272338867,5.039884090423584,11.524871826171875,7.271015783909289,8.0,8.0,35.29098129272461,5.881830215454102,11.524871826171875,8.485687283186495,6.0,6.0,正确_把字句,错误_SVO,把字句,是,Pythia-410M-Base,EleutherAI/pythia-410m
ba_preferred,物理状态改变,10,这首曲子太吵了，我,把它关了,关了它,ba,未运行,16.395896911621094,3.279179334640503,5.4363250732421875,4.730855764271424,5.0,5.0,16.935401916503906,5.645133972167969,7.6863250732421875,8.144206786800545,3.0,3.0,34.73127746582031,6.946255683898926,11.524871826171875,10.021328627907755,5.0,5.0,28.299663543701172,9.433221817016602,13.233367919921875,13.609262335015428,3.0,3.0,正确_把字句,正确_把字句,把字句,是,Pythia-410M-Base,EleutherAI/pythia-410m
