dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_ba,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
svo_preferred,习惯性动作与泛指,1,弟弟非常喜欢运动，每天下午都去操场,把足球踢了,踢足球,svo,未运行,18.134586334228516,4.533646583557129,8.9590482711792,6.540669443241062,4.0,4.0,3.646296739578247,1.8231483697891235,3.084048271179199,2.6302471118995667,2.0,2.0,18.060749053955078,6.020249843597412,10.467723846435547,8.685384594270545,4.0,3.0,10.255409240722656,10.255409240722656,10.255409240722656,14.795428053877426,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
svo_preferred,习惯性动作与泛指,2,老板每天到办公室以后，都会先在桌子前,把咖啡喝了,喝咖啡,svo,未运行,15.6246976852417,5.208232879638672,5.309558868408203,7.513891747249557,3.0,3.0,7.667325973510742,3.833662986755371,5.309558868408203,5.5308065794315455,2.0,2.0,18.44218635559082,9.22109317779541,11.483348846435547,13.30322539918049,3.0,2.0,10.994325637817383,10.994325637817383,10.994325637817383,15.861459075597528,2.0,1.0,正确_SVO,错误_把字句,把字句,是,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
svo_preferred,习惯性动作与泛指,3,她很喜欢阅读，她回家的第一件事就是坐在沙发上,把书看了,看书,svo,未运行,13.53958797454834,4.513195991516113,5.030677318572998,6.511165475520245,3.0,3.0,4.655677318572998,4.655677318572998,4.655677318572998,6.716722579484491,1.0,1.0,17.324546813964844,8.662273406982422,9.139598846435547,12.497018887077886,3.0,2.0,,,,,1.0,0.0,错误_把字句,正确_SVO,把字句,否,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
svo_preferred,习惯性动作与泛指,4,每天中午十二点，工厂的工人们都会准时去食堂,把午饭吃了,吃午饭,svo,未运行,13.591402053833008,4.530467510223389,6.968168258666992,6.536083009907852,3.0,3.0,2.359215259552002,1.179607629776001,1.8431681394577026,1.701814077672621,2.0,2.0,14.736051559448242,7.368025779724121,10.920848846435547,10.629814253550027,3.0,2.0,10.308330535888672,10.308330535888672,10.308330535888672,14.871777343970859,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
svo_preferred,习惯性动作与泛指,5,这所学校的管理很严格，老师要求学生们要大声地,把课文读了,读课文,svo,未运行,16.666536331176758,4.1666340827941895,6.102423191070557,6.011182328446112,4.0,4.0,3.6509504318237305,1.8254752159118652,1.8524231910705566,2.6336040412617576,2.0,2.0,21.50212287902832,7.167374610900879,10.73576545715332,10.340335807340162,4.0,3.0,10.680776596069336,10.680776596069336,10.680776596069336,15.409103427992134,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
svo_preferred,习惯性动作与泛指,6,我平时不爱喝饮料，只,把白开水喝了,喝白开水,svo,未运行,15.353647232055664,3.838411808013916,7.082880973815918,5.537657680311317,4.0,4.0,2.450761318206787,0.8169204592704773,0.9578812122344971,1.178567095390252,3.0,3.0,19.764713287353516,6.588237762451172,9.92326545715332,9.504817948085707,4.0,3.0,11.573637962341309,5.786818981170654,9.926614761352539,8.348615046657027,3.0,2.0,正确_SVO,正确_SVO,SVO,是,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
svo_preferred,习惯性动作与泛指,7,为了准备下个月的考试，他每天在图书馆,把单词背了,背单词,svo,未运行,17.36771011352539,4.341927528381348,9.131659507751465,6.2640773130950445,4.0,4.0,6.8121867179870605,3.4060933589935303,6.131659507751465,4.913953997824798,2.0,2.0,26.342309951782227,8.780770301818848,12.783153533935547,12.667973769619138,4.0,3.0,13.773845672607422,13.773845672607422,13.773845672607422,19.871458845840635,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
svo_preferred,习惯性动作与泛指,8,每天晚上睡觉以前，我都去卫生间,把牙刷了,刷牙,svo,未运行,15.384878158569336,3.846219539642334,5.224001884460449,5.548921856012227,4.0,4.0,4.715384006500244,2.357692003250122,4.599001884460449,3.401430561032517,2.0,2.0,18.798126220703125,6.266042232513428,9.483348846435547,9.039988054847932,4.0,3.0,8.973456382751465,8.973456382751465,8.973456382751465,12.945961023028955,2.0,1.0,正确_SVO,正确_SVO,把字句,是,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
svo_preferred,习惯性动作与泛指,9,每个周末去公园的时候，奶奶总在湖边,把歌听了,听歌,svo,未运行,25.30527114868164,8.435091018676758,6.868228912353516,12.169263982091994,3.0,3.0,11.094650268554688,5.547325134277344,7.243228912353516,8.003098461420628,2.0,2.0,20.15532684326172,10.07766342163086,10.733348846435547,14.538995042134944,3.0,2.0,10.324478149414062,10.324478149414062,10.324478149414062,14.89507342592613,2.0,1.0,正确_SVO,错误_把字句,把字句,是,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
svo_preferred,习惯性动作与泛指,10,弟弟不开心的时候，喜欢在房间里,把吉他弹了,弹吉他,svo,未运行,19.39302635192871,4.848256587982178,4.785383224487305,6.994555736439135,4.0,4.0,7.794475555419922,3.897237777709961,6.535383224487305,5.6225256150672855,2.0,2.0,21.765235900878906,7.2550787925720215,14.045848846435547,10.466866195302345,4.0,3.0,13.772096633911133,13.772096633911133,13.772096633911133,19.86893551638718,2.0,1.0,正确_SVO,错误_把字句,把字句,是,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
svo_preferred,习惯性动作与泛指,11,每天早上吃早饭的时候，弟弟都会,把牛奶喝了,喝牛奶,svo,未运行,10.832192420959473,3.6107308864593506,2.587430000305176,5.209183543879516,3.0,3.0,7.688928127288818,3.844464063644409,5.337430000305176,5.546389239495621,2.0,2.0,17.078739166259766,8.539369583129883,10.663036346435547,12.319706149899536,3.0,2.0,10.134950637817383,10.134950637817383,10.134950637817383,14.621643024833576,2.0,1.0,错误_把字句,错误_把字句,把字句,是,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
svo_preferred,习惯性动作与泛指,12,每天早上六点起床后，爷爷常常坐在院子里,把广播听了,听广播,svo,未运行,23.821178436279297,7.940392971038818,7.625329494476318,11.455565562027287,3.0,3.0,6.967728614807129,3.4838643074035645,5.500329494476318,5.026153759421185,2.0,2.0,23.03777503967285,11.518887519836426,11.350536346435547,16.618241901425783,3.0,2.0,11.394790649414062,11.394790649414062,11.394790649414062,16.4392079618776,2.0,1.0,正确_SVO,正确_SVO,SVO,是,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
svo_preferred,习惯性动作与泛指,13,每天下班回家后，爸爸总是习惯坐在沙发上打开手机,把新闻看了,看新闻,svo,未运行,16.0067138671875,5.3355712890625,7.641437530517578,7.697602239040003,3.0,3.0,5.292882919311523,2.6464414596557617,3.266437530517578,3.8180079698483174,2.0,2.0,23.47608184814453,11.738040924072266,10.498973846435547,16.934413430910762,3.0,2.0,10.724387168884277,10.724387168884277,10.724387168884277,15.472020185122577,2.0,1.0,正确_SVO,正确_SVO,SVO,是,Qwen3-1.7B-Base,Qwen/Qwen3-1.7B-Base
