dataset,type,example_id,context,ba_sent,svo_sent,gold,macbert_miss_svo,ctx_ba_sum_surp,ctx_ba_mean_surp,ctx_ba_first_token_surp,ctx_ba_bits_per_token,ctx_ba_cont_token_count,ctx_ba_scored_token_count,ctx_svo_sum_surp,ctx_svo_mean_surp,ctx_svo_first_token_surp,ctx_svo_bits_per_token,ctx_svo_cont_token_count,ctx_svo_scored_token_count,noctx_ba_sum_surp,noctx_ba_mean_surp,noctx_ba_first_token_surp,noctx_ba_bits_per_token,noctx_ba_cont_token_count,noctx_ba_scored_token_count,noctx_svo_sum_surp,noctx_svo_mean_surp,noctx_svo_first_token_surp,noctx_svo_bits_per_token,noctx_svo_cont_token_count,noctx_svo_scored_token_count,ctx_prefer_mean,ctx_prefer_first_token,noctx_prefer_mean,context_helped_mean,model,model_id
ba_preferred,物理状态改变,1,那个苹果坏了，我,把它扔了,扔了它,ba,未运行,16.337846755981445,1.4852588176727295,6.1112165451049805,2.142775530693052,11.0,11.0,16.891305923461914,2.1114132404327393,6.1112165451049805,3.0461254112396094,8.0,8.0,34.75672149658203,3.1597020626068115,7.484494209289551,4.5584864964094765,11.0,11.0,34.72303771972656,4.34037971496582,7.484494209289551,6.261844290356242,8.0,8.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,2,这杯牛奶太凉了，弟弟刚才,把它加热了,加热了它,ba,未运行,20.802566528320312,1.7335472106933594,6.686173915863037,2.5009799640142045,12.0,12.0,21.344863891601562,2.3716516494750977,6.686173915863037,3.4215700734138537,9.0,9.0,40.020843505859375,3.3350703716278076,7.51518440246582,4.8114894861631505,12.0,12.0,36.99663162231445,4.110736846923828,7.51518440246582,5.930539663456541,9.0,9.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,3,衬衫上有一块咖啡渍，我昨天,把它洗干净了,洗干净了它,ba,未运行,26.05694580078125,1.532761573791504,5.465717315673828,2.2113075213741658,17.0,17.0,28.191377639770508,2.013669967651367,5.465717315673828,2.905111676317667,14.0,14.0,43.668861389160156,2.568756580352783,7.118743896484375,3.7059323797258523,17.0,17.0,47.285865783691406,3.3775620460510254,7.118743896484375,4.872792014132595,14.0,14.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,4,这块蛋糕太甜了，但我还是,把它吃完了,吃完了它,ba,未运行,18.136327743530273,1.5113606452941895,8.552254676818848,2.180432507960671,12.0,12.0,18.714881896972656,2.0794312953948975,8.552254676818848,2.999985217735532,9.0,9.0,36.49860382080078,3.041550397872925,7.51518440246582,4.3880296756251225,12.0,12.0,34.64311599731445,3.8492350578308105,7.51518440246582,5.553272329148453,9.0,9.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,5,刚才有一只蚊子，我一巴掌,把它打死了,打死了它,ba,未运行,15.328325271606445,1.5328325033187866,6.044134140014648,2.211409851051429,10.0,10.0,14.064165115356445,2.0091664791107178,6.044134140014648,2.898614515733372,7.0,7.0,38.55687713623047,3.8556878566741943,7.49508810043335,5.562581750039657,10.0,10.0,35.1287841796875,5.018397808074951,7.49508810043335,7.240017630917777,7.0,7.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,6,桌子上的那张废纸，我,把它撕了,撕了它,ba,未运行,19.793472290039062,1.79940664768219,7.15507173538208,2.5959950471537296,11.0,11.0,19.992647171020508,2.4990808963775635,7.15507173538208,3.605411615984256,8.0,8.0,37.593231201171875,3.4175665378570557,7.49508810043335,4.930506296074438,11.0,11.0,36.051666259765625,4.506458282470703,7.49508810043335,6.501445016093479,8.0,8.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,7,这个旧手机没用了，我准备,把它卖了,卖了它,ba,未运行,17.31097412109375,1.5737249851226807,7.507543563842773,2.270405231759549,11.0,11.0,18.58179473876953,2.3227243423461914,7.507543563842773,3.3509828900549294,8.0,8.0,36.37600326538086,3.3069095611572266,7.49508810043335,4.770862024549829,11.0,11.0,34.20640563964844,4.275800704956055,7.49508810043335,6.168676472869634,8.0,8.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,8,这封信是写给你的，我,把它拆开了,拆开了它,ba,未运行,23.513832092285156,1.9594860076904297,6.1538472175598145,2.8269407459862963,12.0,12.0,23.162216186523438,2.5735795497894287,6.1538472175598145,3.71289045381446,9.0,9.0,37.48859405517578,3.124049663543701,7.49508810043335,4.507050957085332,12.0,12.0,37.608116149902344,4.178679466247559,7.49508810043335,6.028560143419893,9.0,9.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,9,那个花瓶快掉下来了，幸好我,把它抓住了,抓住了它,ba,未运行,17.593814849853516,1.256701111793518,6.264102935791016,1.8130364618641555,14.0,14.0,15.29680061340332,1.3906183242797852,6.264102935791016,2.0062381602077664,11.0,11.0,37.66254425048828,2.6901819705963135,7.51518440246582,3.881112188068201,14.0,14.0,36.260013580322266,3.2963650226593018,7.51518440246582,4.75564947115041,11.0,11.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,10,这首曲子太吵了，我,把它关了,关了它,ba,未运行,22.593788146972656,2.51042103767395,6.712179660797119,3.6217719815955336,9.0,9.0,19.251949310302734,3.208658218383789,6.712179660797119,4.629115299569909,6.0,6.0,37.17115783691406,4.130128860473633,7.484494209289551,5.958516425237696,9.0,9.0,34.62840270996094,5.771400451660156,7.484494209289551,8.326370810594431,6.0,6.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,11,我的旧电脑太慢了，昨天我,把它换了,换了它,ba,未运行,16.93825912475586,1.8820288181304932,6.094330787658691,2.7151936427269794,9.0,9.0,16.98737335205078,2.8312289714813232,6.094330787658691,4.084599996777266,6.0,6.0,36.333518981933594,4.037057876586914,7.49508810043335,5.82424337833367,9.0,9.0,34.41765594482422,5.736276149749756,7.49508810043335,8.27569715441361,6.0,6.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,12,汤里掉进了一只苍蝇，我只能,把它倒了,倒了它,ba,未运行,20.774124145507812,1.8885568380355835,7.738107681274414,2.724611584670878,11.0,11.0,22.015104293823242,2.7518880367279053,7.738107681274414,3.970135223669015,8.0,8.0,34.44526672363281,3.131387948989868,7.51518440246582,4.517637865107146,11.0,11.0,38.14686584472656,4.76835823059082,7.51518440246582,6.8792867724554485,8.0,8.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,13,这张照片拍得不好看，我,把它删了,删了它,ba,未运行,18.477985382080078,2.0531094074249268,7.188109397888184,2.96201076049442,9.0,9.0,18.892959594726562,3.1488265991210938,7.188109397888184,4.5427965191712625,6.0,6.0,37.13767623901367,4.126408576965332,7.49508810043335,5.953149190669569,9.0,9.0,34.51994705200195,5.753324508666992,7.49508810043335,8.300292737278802,6.0,6.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,14,那盘饺子不能剩下，弟弟刚刚,把它吃掉了,吃掉了它,ba,未运行,20.341062545776367,1.4529330730438232,6.436864376068115,2.096139339223886,14.0,14.0,19.906888961791992,1.8097171783447266,6.436864376068115,2.610869998609505,11.0,11.0,35.08116149902344,2.5057973861694336,7.118743896484375,3.615101462499169,14.0,14.0,33.65214157104492,3.0592856407165527,7.118743896484375,4.413616222524586,11.0,11.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
ba_preferred,物理状态改变,15,这个包裹的胶带太紧了，我,把它剪开了,剪开了它,ba,未运行,21.35050392150879,1.7792086601257324,6.8862762451171875,2.5668555106700914,12.0,12.0,23.111591339111328,2.5679545402526855,6.8862762451171875,3.7047752804508476,9.0,9.0,43.575767517089844,3.6313140392303467,7.51518440246582,5.238878756308092,12.0,12.0,43.06767272949219,4.78529691696167,7.51518440246582,6.903724131281847,9.0,9.0,正确_把字句,错误_SVO,把字句,是,Llama-2-7B-Base,meta-llama/Llama-2-7b-hf
